grouping,unit,mean_N_export,mean_N_Ret_Ratio,mean_sed_export,mean_realized_Pollination_on_ag,mean_sed_retention_ratio,mean_Nature_Access,stdev_N_export,stdev_N_Ret_Ratio,stdev_sed_export,stdev_realized_Pollination_on_ag,stdev_sed_retention_ratio,stdev_Nature_Access,valid_count_N_export,valid_count_N_Ret_Ratio,valid_count_sed_export,valid_count_realized_Pollination_on_ag,valid_count_sed_retention_ratio,valid_count_Nature_Access
biome_2026_01_27_19_52_58,Boreal Forests/Taiga,0.00282096530143312,-0.00198805496869221,NA,0.0046472575925062,-6.0065925526334e-4,-260.6052046107864,0.25372303075619995,0.06903842332802386,NA,0.35630184885064603,0.05884358481756147,22492.544348266,108071351,101740514,0,2577665,100913671,3047029
biome_2026_01_27_19_52_58,Deserts & Xeric Shrublands,0.02127866251117523,0.00387627776247618,NA,0.0214774591810342,0.00132248251135408,-2241.4809726489534,0.9189207808638076,0.12273051025863146,NA,0.4739831325380706,0.0168142109253436,172131.23183664502,314444317,150721381,0,12035643,155591377,6163128
biome_2026_01_27_19_52_58,Flooded Grasslands & Savannas,0.07205820279796926,-0.00175209763062425,NA,0.04364041775805825,-2.2347154494525e-4,-5092.020845109684,2.443493774416772,0.10573313417329289,NA,0.3983822057532242,0.03072546227943171,227259.07080785555,10720275,8735265,0,1726771,9291612,129143
biome_2026_01_27_19_52_58,Lakes,0.00137382304101632,0.00774512820760913,NA,-0.00389686025150889,-0.0014821414990956,-2649.077803287052,0.12243170547448,0.13012575938011675,NA,0.17744408671010195,0.01126069654117899,112002.71830962428,4986862,831665,0,29818,260774,109764
biome_2026_01_27_19_52_58,Mangroves,-0.03014447995582945,-0.0028149079514332,NA,0.01057404674106525,1.5324363512066e-4,-4944.968338470159,2.1574189756735755,0.1184769385093862,NA,0.15289076592427342,0.11597575434710476,310940.676842819,1476776,896294,0,650970,1320958,57104
biome_2026_01_27_19_52_58,"Mediterranean Forests, Woodlands & Scrub",0.17504581370361702,-4.547837453486606e-5,NA,0.02942183848892845,3.0956740633458e-4,-3279.1338261314527,3.3456584683086854,0.1145978607161462,NA,0.5941588968629931,0.06618109146835584,188383.43254211656,36886889,32920625,0,11215776,35229520,648812
biome_2026_01_27_19_52_58,Montane Grasslands & Shrublands,0.04730360061339458,3.7451878567641e-4,NA,0.00346068590734391,3.3917783871613e-4,-4452.071176384711,2.169870668715971,0.12408614938031189,NA,0.13614467050367857,0.15663922916810316,204473.95399634747,61270838,56597962,0,5494124,50725026,1006907
biome_2026_01_27_19_52_58,Rock & Ice,-0.00197100885982251,-0.00208710038133816,NA,1.6471554615554053e-5,-7.7380949588145e-4,-0.33146250160554597,0.09730807524008628,0.07185251406052064,NA,0.00467717538842965,0.00637056919356503,61.30621092079415,1967174,1132525,0,1309,441251,72016
biome_2026_01_27_19_52_58,Temperate Broadleaf & Mixed Forests,0.03672848324439124,-0.0042862987514615,NA,0.03147792658468739,-4.6096069281958e-4,-7844.923084702588,4.97686250828981,0.1047723695056582,NA,0.5204427960567335,0.09960557785595602,324718.58115391125,170979971,160979738,0,54836462,165552653,2531304
biome_2026_01_27_19_52_58,Temperate Conifer Forests,0.03802373852439866,-9.1393523144168e-4,NA,0.02150996914825647,-0.001046416730334,-4482.4075163201705,1.5742683120554877,0.07756384435498653,NA,0.4585393975274587,0.12919229830369736,151634.7764516763,55782153,52967533,0,3700034,54372462,613811
