LC_ID,LC_Name,CN_A,CN_B,CN_C,CN_D
0,No Data,,,,
10,"Cropland, rainfed",57,68,75,78
11,Herbaceous cover,57,68,75,78
12,Tree or shrub cover,49,65,75,79
20,"Cropland, irrigated or post-flooding",61,71,77,80
30,"Mosaic cropland (>50%)/natural vegetation (tree, shrub, herbaceous cover) (<50%)",49,64,74,79
40,"Mosaic natural vegetation (tree, shrub, herbaceous cover) (>50%)/cropland (<50%)",46,63,74,79
50,"Tree cover, Br., Ev., closed to open (>15%)",31,56,70,77
60,"Tree cover, Br., De., closed to open (>15%)",35,59,72,79
61,"Tree cover, Br., De., closed (>40%)",35,59,72,79
62,"Tree cover, Br., De., open (15-40%)",42,63,75,81
70,"Tree cover, Ne., Ev., closed to open (>15%)",35,59,72,79
71,"Tree cover, Ne., Ev., closed (>40%)",35,59,72,79
72,"Tree cover, Ne., Ev., open (15-40%)",49,68,78,84
80,"Tree cover, Ne., De., closed to open (>15%)",44,64,76,82
81,"Tree cover, Ne., De., closed (>40%)",44,64,76,82
82,"Tree cover, Ne., De., open (15-40%)",53,70,80,85
90,"Tree cover, mixed leaf type (Br. and Ne.)",41,62,75,81
100,"Mosaic tree & shrub (>50%)/herbaceous cover (<50%)",37,60,73,79
110,"Mosaic herbaceous cover (>50%)/tree & shrub (<50%)",38,60,73,80
120,Shrubland,48,66,77,83
121,Evergreen shrubland,48,65,77,83
122,Deciduous shrubland,48,67,78,83
130,Grassland,54,71,81,86
140,Lichens and mosses,54,71,81,86
150,"Sparse vegetation (tree, shrub, herbaceous cover) (<15%)",71,82,88,92
152,Sparse shrub (<15%),72,82,88,92
153,Sparse herbaceous cover (<15%),71,82,88,92
160,"Tree cover, flooded, fresh or brackish water",47,66,77,83
170,"Tree cover, flooded, saline water",46,65,76,82
180,"Shrub or herbaceous cover, flooded, fresh/saline/brackish water",57,72,82,86
190,Urban areas,70,82,88,91
200,Bare areas,77,86,91,94
201,Consolidated bare areas,85,90,93,94
202,Unconsolidated bare areas,77,86,91,94
210,Water bodies,,,,
220,Permanent snow and ice,,,,
255,No Data,,,,
