service,group,n_total,n_hot,pct_area,global_n_hot,pct_share,grouping_var,expected_share,relative_intensity
Pollination,4. Lower middle income,241864,19658,8.12770813349651,84590,23.239153564251094,income_grp,14.296370817585677,1.6255281750012445
Nature_Access,4. Lower middle income,241864,18933,7.827952899149936,77003,24.587353739464696,income_grp,14.296370817585677,1.7198318407648105
N_export,4. Lower middle income,241864,17419,7.201981278735158,84590,20.59226858966781,income_grp,14.296370817585677,1.4403843361657684
Pollination,5. Low income,197864,12923,6.531253790482351,84590,15.277219529495213,income_grp,11.69556906133518,1.3062399485973493
Sed_export,4. Lower middle income,241864,15531,6.421377302947111,84590,18.36032627970209,income_grp,14.296370817585677,1.2842648329404986
Sed_export,3. Upper middle income,690600,42875,6.208369533738778,84590,50.68566024352761,income_grp,40.82076574696799,1.24166363163563
Nature_Access,5. Low income,197864,12169,6.15018396474346,77003,15.803280391673052,income_grp,11.69556906133518,1.351219449758773
N_export,3. Upper middle income,690600,41701,6.038372429771213,84590,49.29778933680104,income_grp,40.82076574696799,1.2076644921944584
N_export,5. Low income,197864,11745,5.935895362471192,84590,13.884619931433976,income_grp,11.69556906133518,1.1871692483383012
Pollination,3. Upper middle income,690600,40026,5.795829713292789,84590,47.317649840406666,income_grp,40.82076574696799,1.159156350317148
Nature_Access,3. Upper middle income,690600,38084,5.514624963799594,77003,49.45781333194811,income_grp,40.82076574696799,1.2115846537156556
Sed_Ret_Ratio,4. Lower middle income,241864,12379,5.118165580656898,58381,21.20381631010089,income_grp,14.296370817585677,1.4831607672080318
N_Ret_Ratio,4. Lower middle income,241864,12224,5.054079978831079,57514,21.253955558646588,income_grp,14.296370817585677,1.4866678984363308
Sed_Ret_Ratio,5. Low income,197864,9556,4.829579913475923,58381,16.36833901440537,income_grp,11.69556906133518,1.399533355629362
Sed_export,5. Low income,197864,9203,4.651174544131322,84590,10.879536588249202,income_grp,11.69556906133518,0.9302272109371976
Sed_export,1. High income: OECD,375134,16713,4.45520800567264,84590,19.757654569098,income_grp,22.17384468248348,0.8910342275783062
N_Ret_Ratio,3. Upper middle income,690600,28373,4.108456414711845,57514,49.33233647459749,income_grp,40.82076574696799,1.2085108050248103
Sed_Ret_Ratio,3. Upper middle income,690600,26562,3.8462206776715897,58381,45.497679039413505,income_grp,40.82076574696799,1.1145719147317292
N_Ret_Ratio,5. Low income,197864,7387,3.7333724174180247,57514,12.843829328511319,income_grp,11.69556906133518,1.0981790848443806
N_export,1. High income: OECD,375134,12685,3.3814583588797604,84590,14.99586239508216,income_grp,22.17384468248348,0.676286075320458
Pollination,1. High income: OECD,375134,11713,3.122350946595083,84590,13.84679040075659,income_grp,22.17384468248348,0.6244650216971639
Sed_Ret_Ratio,1. High income: OECD,375134,9479,2.526830412599231,58381,16.236446789195114,income_grp,22.17384468248348,0.7322341714615377
N_Ret_Ratio,1. High income: OECD,375134,8554,2.2802518566698833,57514,14.872900511179887,income_grp,22.17384468248348,0.670740718362158
Nature_Access,1. High income: OECD,375134,7135,1.9019870233036726,77003,9.265872758204226,income_grp,22.17384468248348,0.4178739813003166
N_export,2. High income: nonOECD,186324,1040,0.5581674931839162,84590,1.2294597470150137,income_grp,11.013449691627665,0.11163257484615734
N_Ret_Ratio,2. High income: nonOECD,186324,976,0.5238187243725984,57514,1.6969781270647146,income_grp,11.013449691627665,0.154082342461213
C_Risk,1. High income: OECD,375134,1938,0.5166153960984609,4337,44.68526631311967,income_grp,22.17384468248348,2.01522410538121
