group,mean_hotspots,pct_multi,n_pixels,grouping
4. Lower middle income,0.403152184698839,9.22460556345715,241864,income_grp
5. Low income,0.3212913920672785,7.059899729106861,197864,income_grp
3. Upper middle income,0.3189052997393571,7.210686359687228,690600,income_grp
1. High income: OECD,0.1868905511097368,4.037224031945918,375134,income_grp
2. High income: nonOECD,0.02102251991155192,0.4685386745668835,186324,income_grp
Latin America & Caribbean,0.49722334927602163,12.068492083983951,243999,region_wb
East Asia & Pacific,0.41865876057152324,9.780267430013783,283663,region_wb
Sub-Saharan Africa,0.29824645546410083,6.469631176420673,271051,region_wb
South Asia,0.2729942068089834,5.5884453614792475,63005,region_wb
Middle East & North Africa,0.19492261924658222,4.567637129391316,119668,region_wb
Europe & Central Asia,0.16870183122479562,3.353153493832421,354353,region_wb
North America,0.15142002060317572,2.884444602323186,225208,region_wb
Tropical & Subtropical Moist Broadleaf Forests,0.6128361131508094,14.843176334836883,228792,WWF_biome
Tropical & Subtropical Coniferous Forests,0.5355516927406672,14.013740584388708,12081,WWF_biome
Mangroves,0.5136435021594032,12.328229289360031,10188,WWF_biome
Tropical & Subtropical Dry Broadleaf Forests,0.4746886912325286,11.273189326556544,39350,WWF_biome
Flooded Grasslands & Savannas,0.40121236344257927,8.57314148681055,15012,WWF_biome
Temperate Broadleaf & Mixed Forests,0.3918808193668529,9.15997968511935,147675,WWF_biome
"Mediterranean Forests, Woodlands & Scrub",0.36879432624113473,9.245836905411373,38493,WWF_biome
"Tropical & Subtropical Grasslands, Savannas & Shrublands",0.34974753741815834,7.801748060843708,221617,WWF_biome
Temperate Conifer Forests,0.29152875758893954,6.192196395135514,52873,WWF_biome
Montane Grasslands & Shrublands,0.274148408145594,5.603574907612141,64673,WWF_biome
"Temperate Grasslands, Savannas & Shrublands",0.24995315218846206,5.222861732030518,112065,WWF_biome
Deserts & Xeric Shrublands,0.15766199256094596,3.1188084193841634,300307,WWF_biome
Boreal Forests/Taiga,0.09881236304645222,1.230009321921042,165202,WWF_biome
Tundra,0.012980576658044632,0.2688445793193344,147297,WWF_biome
