service,income_grp,hdi_bin,exposed_population,hotspot_cells
C_Risk,1. High income: OECD,Medium (0.550-0.700),98680.76945504035,3
C_Risk,1. High income: OECD,High (0.700-0.800),233014.83236087824,263
C_Risk,1. High income: OECD,Very High (>0.800),26970397.29749878,1443
C_Risk,2. High income: nonOECD,Low (<0.550),926.9000193192248,2
C_Risk,2. High income: nonOECD,Medium (0.550-0.700),3787.5028248689096,16
C_Risk,2. High income: nonOECD,High (0.700-0.800),37685.586345914795,34
C_Risk,2. High income: nonOECD,Very High (>0.800),3397002.523836609,23
C_Risk,3. Upper middle income,Low (<0.550),244511.86192749665,49
C_Risk,3. Upper middle income,Medium (0.550-0.700),3356621.814481901,474
C_Risk,3. Upper middle income,High (0.700-0.800),25076114.446393594,513
C_Risk,3. Upper middle income,Very High (>0.800),28248408.909187112,139
C_Risk,4. Lower middle income,Low (<0.550),790027.0586616602,91
C_Risk,4. Lower middle income,Medium (0.550-0.700),13954938.05034411,422
C_Risk,4. Lower middle income,High (0.700-0.800),12187876.116225187,135
C_Risk,4. Lower middle income,Very High (>0.800),1703949.9643217672,7
C_Risk,5. Low income,Low (<0.550),4180431.665544317,185
C_Risk,5. Low income,Medium (0.550-0.700),4744280.897749025,57
C_Risk,5. Low income,High (0.700-0.800),624081.0978082189,10
C_Risk,5. Low income,Very High (>0.800),160175.2932295285,3
C_Risk_Red_Ratio,1. High income: OECD,Medium (0.550-0.700),106118.22612452079,4
C_Risk_Red_Ratio,1. High income: OECD,High (0.700-0.800),424316.06466688105,259
C_Risk_Red_Ratio,1. High income: OECD,Very High (>0.800),29283426.30005911,1416
C_Risk_Red_Ratio,2. High income: nonOECD,Low (<0.550),926.9000193192248,2
C_Risk_Red_Ratio,2. High income: nonOECD,Medium (0.550-0.700),2685.0722402578313,17
C_Risk_Red_Ratio,2. High income: nonOECD,High (0.700-0.800),45348.110776243506,36
C_Risk_Red_Ratio,2. High income: nonOECD,Very High (>0.800),3066864.072215025,25
C_Risk_Red_Ratio,3. Upper middle income,Low (<0.550),71075.05545747011,60
C_Risk_Red_Ratio,3. Upper middle income,Medium (0.550-0.700),3392604.514800627,472
C_Risk_Red_Ratio,3. Upper middle income,High (0.700-0.800),23227104.85840196,528
C_Risk_Red_Ratio,3. Upper middle income,Very High (>0.800),30096876.01050552,153
C_Risk_Red_Ratio,4. Lower middle income,Low (<0.550),968501.7619317301,94
C_Risk_Red_Ratio,4. Lower middle income,Medium (0.550-0.700),14544542.384467069,432
C_Risk_Red_Ratio,4. Lower middle income,High (0.700-0.800),10671765.877568912,139
C_Risk_Red_Ratio,4. Lower middle income,Very High (>0.800),1703949.9643217672,7
C_Risk_Red_Ratio,5. Low income,Low (<0.550),1625838.4777181786,162
C_Risk_Red_Ratio,5. Low income,Medium (0.550-0.700),4243227.106638479,57
C_Risk_Red_Ratio,5. Low income,High (0.700-0.800),1302752.6174966579,12
C_Risk_Red_Ratio,5. Low income,Very High (>0.800),160175.2932295285,3
N_Ret_Ratio,1. High income: OECD,Medium (0.550-0.700),24121.415212439388,14
N_Ret_Ratio,1. High income: OECD,High (0.700-0.800),3639227.136159858,1924
N_Ret_Ratio,1. High income: OECD,Very High (>0.800),88887457.44493987,4705
N_Ret_Ratio,2. High income: nonOECD,Low (<0.550),90212.62511554817,6
N_Ret_Ratio,2. High income: nonOECD,Medium (0.550-0.700),54256.012550257175,162
N_Ret_Ratio,2. High income: nonOECD,High (0.700-0.800),599588.2643656668,361
N_Ret_Ratio,2. High income: nonOECD,Very High (>0.800),7023692.740877525,155
N_Ret_Ratio,3. Upper middle income,Low (<0.550),2184144.28096438,1102
N_Ret_Ratio,3. Upper middle income,Medium (0.550-0.700),63557816.41467341,15319
N_Ret_Ratio,3. Upper middle income,High (0.700-0.800),246847127.17365968,7663
N_Ret_Ratio,3. Upper middle income,Very High (>0.800),140785669.16662627,833
N_Ret_Ratio,4. Lower middle income,Low (<0.550),39951916.313343056,3701
N_Ret_Ratio,4. Lower middle income,Medium (0.550-0.700),143912818.0339323,6437
N_Ret_Ratio,4. Lower middle income,High (0.700-0.800),95921591.72520894,775
N_Ret_Ratio,4. Lower middle income,Very High (>0.800),5351196.299257806,36
N_Ret_Ratio,5. Low income,Low (<0.550),46233805.58304825,5269
N_Ret_Ratio,5. Low income,Medium (0.550-0.700),29483605.790502824,860
N_Ret_Ratio,5. Low income,High (0.700-0.800),23905864.896820318,46
N_Ret_Ratio,5. Low income,Very High (>0.800),144699.5733037005,4
N_export,1. High income: OECD,Medium (0.550-0.700),194926.93639234547,19
N_export,1. High income: OECD,High (0.700-0.800),2170865.782773865,3348
N_export,1. High income: OECD,Very High (>0.800),117179073.05098876,7545
N_export,2. High income: nonOECD,Low (<0.550),87867.47080770579,8
N_export,2. High income: nonOECD,Medium (0.550-0.700),53366.73093951737,157
N_export,2. High income: nonOECD,High (0.700-0.800),862213.918593081,371
N_export,2. High income: nonOECD,Very High (>0.800),10747747.311424823,230
N_export,3. Upper middle income,Low (<0.550),3042701.618002205,1433
N_export,3. Upper middle income,Medium (0.550-0.700),81578760.90156904,26227
N_export,3. Upper middle income,High (0.700-0.800),169669516.31737942,9705
N_export,3. Upper middle income,Very High (>0.800),79050153.12570906,839
N_export,4. Lower middle income,Low (<0.550),49409960.74772536,5512
N_export,4. Lower middle income,Medium (0.550-0.700),146906595.2454025,9215
N_export,4. Lower middle income,High (0.700-0.800),59848806.056741886,777
N_export,4. Lower middle income,Very High (>0.800),1695388.0214722352,27
N_export,5. Low income,Low (<0.550),74434377.32541482,8760
N_export,5. Low income,Medium (0.550-0.700),39724374.66386777,1285
N_export,5. Low income,High (0.700-0.800),2443443.204978825,33
N_export,5. Low income,Very High (>0.800),81429.880208299,9
Nature_Access,1. High income: OECD,Medium (0.550-0.700),76113.90932325515,12
Nature_Access,1. High income: OECD,High (0.700-0.800),2882582.9174469034,1793
Nature_Access,1. High income: OECD,Very High (>0.800),106833950.5990162,4996
Nature_Access,2. High income: nonOECD,Low (<0.550),7697.537118116967,16
Nature_Access,2. High income: nonOECD,Medium (0.550-0.700),22075.280110088508,72
Nature_Access,2. High income: nonOECD,High (0.700-0.800),497636.95503074006,262
Nature_Access,2. High income: nonOECD,Very High (>0.800),4927023.256988397,124
Nature_Access,3. Upper middle income,Low (<0.550),1903479.96546898,1001
Nature_Access,3. Upper middle income,Medium (0.550-0.700),83668531.83576165,23198
Nature_Access,3. Upper middle income,High (0.700-0.800),284577824.1812587,10900
Nature_Access,3. Upper middle income,Very High (>0.800),215641523.2893069,1053
Nature_Access,4. Lower middle income,Low (<0.550),72197125.34978962,7058
Nature_Access,4. Lower middle income,Medium (0.550-0.700),228120720.766079,10116
Nature_Access,4. Lower middle income,High (0.700-0.800),90707412.94070818,1014
Nature_Access,4. Lower middle income,Very High (>0.800),7747832.149981894,31
Nature_Access,5. Low income,Low (<0.550),110621363.48895802,9710
Nature_Access,5. Low income,Medium (0.550-0.700),67663911.14680678,1659
Nature_Access,5. Low income,High (0.700-0.800),14715285.538312582,62
Nature_Access,5. Low income,Very High (>0.800),48647.82780477095,7
Pollination,1. High income: OECD,Medium (0.550-0.700),14448.321170567844,25
Pollination,1. High income: OECD,High (0.700-0.800),2171106.489011927,3282
Pollination,1. High income: OECD,Very High (>0.800),89892763.11489806,8087
Pollination,2. High income: nonOECD,Low (<0.550),16248.765369173885,21
Pollination,2. High income: nonOECD,Medium (0.550-0.700),22923.99501746974,27
Pollination,2. High income: nonOECD,High (0.700-0.800),247283.896439205,48
Pollination,2. High income: nonOECD,Very High (>0.800),611873.8787972454,35
Pollination,3. Upper middle income,Low (<0.550),4674988.223457251,2042
Pollination,3. Upper middle income,Medium (0.550-0.700),68678167.16561705,27099
Pollination,3. Upper middle income,High (0.700-0.800),127182684.5085332,8445
Pollination,3. Upper middle income,Very High (>0.800),48739509.81683057,554
Pollination,4. Lower middle income,Low (<0.550),39801997.634371996,6242
Pollination,4. Lower middle income,Medium (0.550-0.700),192438191.3520489,11383
Pollination,4. Lower middle income,High (0.700-0.800),81332829.58518055,954
Pollination,4. Lower middle income,Very High (>0.800),3722865.909829549,29
Pollination,5. Low income,Low (<0.550),76404043.45700659,10368
Pollination,5. Low income,Medium (0.550-0.700),52448574.88270907,1523
Pollination,5. Low income,High (0.700-0.800),7246924.604906674,52
Pollination,5. Low income,Very High (>0.800),191966.97076397314,8
Sed_Ret_Ratio,1. High income: OECD,Medium (0.550-0.700),9467.30506705555,6
Sed_Ret_Ratio,1. High income: OECD,High (0.700-0.800),2349069.6231744504,2346
Sed_Ret_Ratio,1. High income: OECD,Very High (>0.800),98182316.94015715,6214
Sed_Ret_Ratio,2. High income: nonOECD,Low (<0.550),5869.741256875749,4
Sed_Ret_Ratio,2. High income: nonOECD,Medium (0.550-0.700),24425.94919590523,23
Sed_Ret_Ratio,2. High income: nonOECD,High (0.700-0.800),446408.0284518448,89
Sed_Ret_Ratio,2. High income: nonOECD,Very High (>0.800),3394832.477663841,78
Sed_Ret_Ratio,3. Upper middle income,Low (<0.550),3472827.1299803806,1045
Sed_Ret_Ratio,3. Upper middle income,Medium (0.550-0.700),64787392.628874764,15829
Sed_Ret_Ratio,3. Upper middle income,High (0.700-0.800),150028020.11252046,7014
Sed_Ret_Ratio,3. Upper middle income,Very High (>0.800),64264594.818967156,562
Sed_Ret_Ratio,4. Lower middle income,Low (<0.550),30801384.83822904,3696
Sed_Ret_Ratio,4. Lower middle income,Medium (0.550-0.700),87454950.46744293,7395
Sed_Ret_Ratio,4. Lower middle income,High (0.700-0.800),43576783.29518458,699
Sed_Ret_Ratio,4. Lower middle income,Very High (>0.800),2127606.6578603527,19
Sed_Ret_Ratio,5. Low income,Low (<0.550),81476234.47867297,7392
Sed_Ret_Ratio,5. Low income,Medium (0.550-0.700),37603001.300937995,1385
Sed_Ret_Ratio,5. Low income,High (0.700-0.800),2067197.4385855617,40
Sed_Ret_Ratio,5. Low income,Very High (>0.800),43477.036795212414,5
Sed_export,1. High income: OECD,Medium (0.550-0.700),22933.42339252266,38
Sed_export,1. High income: OECD,High (0.700-0.800),1687489.3404840503,3513
Sed_export,1. High income: OECD,Very High (>0.800),77509131.44249636,8009
Sed_export,2. High income: nonOECD,Low (<0.550),18701.970538010304,34
Sed_export,2. High income: nonOECD,Medium (0.550-0.700),43775.05039011659,24
Sed_export,2. High income: nonOECD,High (0.700-0.800),185809.5494456102,42
Sed_export,2. High income: nonOECD,Very High (>0.800),1169285.2901614693,33
Sed_export,3. Upper middle income,Low (<0.550),2724141.128813259,1065
Sed_export,3. Upper middle income,Medium (0.550-0.700),47823365.516055875,27180
Sed_export,3. Upper middle income,High (0.700-0.800),99875801.80656965,6624
Sed_export,3. Upper middle income,Very High (>0.800),43081634.07124732,548
Sed_export,4. Lower middle income,Low (<0.550),17529540.634113774,3720
Sed_export,4. Lower middle income,Medium (0.550-0.700),68523622.75579673,10111
Sed_export,4. Lower middle income,High (0.700-0.800),38325345.4856278,631
Sed_export,4. Lower middle income,Very High (>0.800),1415536.1539034653,11
Sed_export,5. Low income,Low (<0.550),56078905.320902914,7698
Sed_export,5. Low income,Medium (0.550-0.700),30353330.20464289,933
Sed_export,5. Low income,High (0.700-0.800),2279479.8254724834,41
Sed_export,5. Low income,Very High (>0.800),30378.091140709086,4
