service,n_es_hotspots,n_overlap,pct_overlap,driver,metric
Sed_Ret_Ratio,58025,27768,47.85523481258078,Forest_Loss,abs_chg
Sed_Ret_Ratio,58025,24548,42.30590262817751,Crop_Exp,abs_chg
N_export,76309,21740,28.489431128700417,Crop_Exp,abs_chg
Sed_export,76309,18344,24.039104168577758,Forest_Loss,abs_chg
N_export,76309,17754,23.265931934634185,Forest_Loss,abs_chg
Sed_export,76309,16000,20.967382615418888,Crop_Exp,abs_chg
Nature_Access,75387,15608,20.70383487869261,Crop_Exp,abs_chg
N_Ret_Ratio,57140,9893,17.31361568078404,Forest_Loss,abs_chg
Nature_Access,75387,12690,16.83314099247881,Forest_Loss,abs_chg
Pollination,76309,12324,16.150126459526398,Crop_Exp,abs_chg
Pollination,76309,11917,15.61676866424668,Forest_Loss,abs_chg
N_Ret_Ratio,57140,7880,13.790689534476725,Crop_Exp,abs_chg
Nature_Access,75387,7713,10.231206972024353,Urban_Exp,abs_chg
C_Risk_Red_Ratio,4242,426,10.042432814710041,Urban_Exp,abs_chg
C_Risk,4242,421,9.924563884959925,Urban_Exp,abs_chg
N_Ret_Ratio,57140,3881,6.792089604480224,Urban_Exp,abs_chg
C_Risk_Red_Ratio,4242,271,6.388495992456389,Forest_Loss,abs_chg
C_Risk,4242,270,6.364922206506366,Forest_Loss,abs_chg
C_Risk,4242,175,4.125412541254125,Crop_Exp,abs_chg
C_Risk_Red_Ratio,4242,170,4.0075436115040075,Crop_Exp,abs_chg
N_export,76309,1170,1.5332398537525063,Urban_Exp,abs_chg
Sed_Ret_Ratio,58025,673,1.1598448944420507,Urban_Exp,abs_chg
Sed_export,76309,469,0.6146064029144662,Urban_Exp,abs_chg
Pollination,76309,387,0.5071485670104444,Urban_Exp,abs_chg
