service,var,D,p_value,p_perm,n_hot,n_non,mean_hot,mean_non,median_hot,median_non,q10_hot,q90_hot,q10_non,q90_non,median_delta,mean_delta,auc,cliffs_delta,p_hot_greater,p_hot_less,p_adj,p_hot_greater_adj,p_hot_less_adj
N_Ret_Ratio,GHS_BUILT_S_E2020_mean,0.3137217772926251,0,NA,89777,89777,136.2009067161485,34.05927568142762,17.105201032011433,0.6620329912231547,0.023858062273172203,338.31984680034793,0,72.50558046204817,16.44316804078828,102.14163103472087,0.710817618761447,0.421635237522894,1,0,0,1,0
Pollination,GHS_BUILT_S_E2020_mean,0.31094257854821233,0,NA,45227,45227,18.95877987745582,65.51214002736161,1.3157423469037082,11.497540908311247,0,38.03203461304574,0.1240423443103768,149.57471617651692,-10.18179856140754,-46.553360149905785,0.29897156089156746,-0.4020568782168651,0,1,0,0,1
Nature_Access,GHS_BUILT_S_E2020_mean,0.3015200786508357,0,NA,79338,79338,157.9374539192357,30.15826600779954,17.544520985852657,0.9942730494707227,0.07639732047879488,541.7848483559612,0,63.60229506462963,16.550247936381933,127.77918791143617,0.7132281315221175,0.426456263044235,1,0,0,1,0
Sed_Ret_Ratio,GHS_BUILT_S_E2020_mean,0.25430857041133076,0,NA,89879,89879,56.564775267323306,37.86488072141905,7.612809052200891,0.6725300096012997,0,119.00472782734423,0,77.69133121858543,6.940279042599592,18.699894545904257,0.6438040929269413,0.2876081858538826,0.9936118753543145,0,0,1,0
N_export,GHS_BUILT_S_E2020_mean,0.1830645789514684,0,NA,89859,89859,61.961176482786676,38.411758549965946,3.950941981571099,0.7499880542701628,0,121.89901905670683,0,81.170157685904,3.200953927300936,23.54941793282073,0.6028433486493959,0.20568669729879185,1,0,0,1,0
C_Risk,GHS_BUILT_S_E2020_mean,0.12543202764976957,2.550116001948035e-95,NA,13888,13888,116.73674671648031,92.07937138271059,5.94092369763553,0.8005446619022677,0,308.41147725817865,0,239.56917467982737,5.140379035733263,24.65737533376972,0.5723279990956287,0.1446559981912574,0.22005079137254446,0,2.914418287940611e-95,0.4401015827450889,0
Sed_export,GHS_BUILT_S_E2020_mean,0.11405811935383382,0,NA,89884,89884,19.187927717569465,39.23171782318798,0.48209360415791025,0.8487923662391357,0,31.66741940480235,0,82.45551045304981,-0.3666987620812254,-20.043790105618513,0.46082093602935525,-0.07835812794128949,0,2.1011463996467583e-6,0,0,2.4013101710248667e-6
C_Risk_Red_Ratio,GHS_BUILT_S_E2020_mean,0.09281767955801104,7.874584993249752e-48,NA,12670,12670,104.48104777670893,91.9394950927157,1.5136260878434942,1.1878230276352926,0,332.8992393377,0,248.75846677901953,0.3258030602082016,12.541552683993231,0.5202116254456363,0.04042325089127252,2.0525875657029236e-4,0,7.874584993249752e-48,5.473566841874462e-4,0
Nature_Access,GHS_POP_E2020_GLOBE_sum,0.31048173636844895,0,NA,79338,79338,44073.787100222355,5921.654107131403,2697.202249078735,79.09034943712817,4.731201279233746,101883.47545090078,0,8790.902335180253,2618.1118996416067,38152.13299309095,0.7209275154338562,0.4418550308677125,1,0,0,1,0
N_Ret_Ratio,GHS_POP_E2020_GLOBE_sum,0.30136894750325816,0,NA,89777,89777,35317.77949373289,7162.9829944119765,1849.7712022556582,48.864449872932795,1.1791718823230863,56295.89200546226,0,11060.73155959205,1800.9067523827255,28154.79649932091,0.7051154326892338,0.41023086537846765,1,0,0,1,0
