"","extent","service","color","metric","value"
"1","Temperate Grasslands, Savannas & Shrublands","Coastal Protection","#9e9ac8","year_1992",0.883789539337158
"2","Temperate Grasslands, Savannas & Shrublands","Coastal Protection","#9e9ac8","year_2020",0.884749472141266
"3","Temperate Grasslands, Savannas & Shrublands","Coastal Protection","#9e9ac8","pct_change",0.108615542658261
"4","Tropical & Subtropical Moist Broadleaf Forests","Coastal Protection","#9e9ac8","year_1992",1.55766987800598
"5","Tropical & Subtropical Moist Broadleaf Forests","Coastal Protection","#9e9ac8","year_2020",1.53305065631866
"6","Tropical & Subtropical Moist Broadleaf Forests","Coastal Protection","#9e9ac8","pct_change",-1.5805160024559
"7","Temperate Conifer Forests","Coastal Protection","#9e9ac8","year_1992",1.81716001033783
"8","Temperate Conifer Forests","Coastal Protection","#9e9ac8","year_2020",1.82186412811279
"9","Temperate Conifer Forests","Coastal Protection","#9e9ac8","pct_change",0.25887196219366
"10","Tropical & Subtropical Coniferous Forests","Coastal Protection","#9e9ac8","year_1992",1.36358332633972
"11","Tropical & Subtropical Coniferous Forests","Coastal Protection","#9e9ac8","year_2020",1.37634980678558
"12","Tropical & Subtropical Coniferous Forests","Coastal Protection","#9e9ac8","pct_change",0.936244980358423
"13","Rock & Ice","Coastal Protection","#9e9ac8","year_1992",0.321790307760239
"14","Rock & Ice","Coastal Protection","#9e9ac8","year_2020",0.320921689271927
"15","Rock & Ice","Coastal Protection","#9e9ac8","pct_change",-0.269933079823891
"16","Boreal Forests/Taiga","Coastal Protection","#9e9ac8","year_1992",1.71261429786682
"17","Boreal Forests/Taiga","Coastal Protection","#9e9ac8","year_2020",1.69394850730896
"18","Boreal Forests/Taiga","Coastal Protection","#9e9ac8","pct_change",-1.08990042773259
"19","Montane Grasslands & Shrublands","Coastal Protection","#9e9ac8","year_1992",1.77388763427734
"20","Montane Grasslands & Shrublands","Coastal Protection","#9e9ac8","year_2020",1.95707786083221
"21","Montane Grasslands & Shrublands","Coastal Protection","#9e9ac8","pct_change",10.327047949094
"22","Lakes","Coastal Protection","#9e9ac8","year_1992",NA
"23","Lakes","Coastal Protection","#9e9ac8","year_2020",NA
"24","Lakes","Coastal Protection","#9e9ac8","pct_change",NA
"25","Flooded Grasslands & Savannas","Coastal Protection","#9e9ac8","year_1992",1.24052321910858
"26","Flooded Grasslands & Savannas","Coastal Protection","#9e9ac8","year_2020",1.212681889534
"27","Flooded Grasslands & Savannas","Coastal Protection","#9e9ac8","pct_change",-2.24432152060696
"28","Mediterranean Forests, Woodlands & Scrub","Coastal Protection","#9e9ac8","year_1992",1.48020148277283
"29","Mediterranean Forests, Woodlands & Scrub","Coastal Protection","#9e9ac8","year_2020",1.4883486032486
"30","Mediterranean Forests, Woodlands & Scrub","Coastal Protection","#9e9ac8","pct_change",0.550406182576449
"31","Tropical & Subtropical Dry Broadleaf Forests","Coastal Protection","#9e9ac8","year_1992",1.35775208473206
"32","Tropical & Subtropical Dry Broadleaf Forests","Coastal Protection","#9e9ac8","year_2020",1.37742638587952
"33","Tropical & Subtropical Dry Broadleaf Forests","Coastal Protection","#9e9ac8","pct_change",1.44903486937694
"34","Temperate Broadleaf & Mixed Forests","Coastal Protection","#9e9ac8","year_1992",1.76276457309723
"35","Temperate Broadleaf & Mixed Forests","Coastal Protection","#9e9ac8","year_2020",1.75432431697845
"36","Temperate Broadleaf & Mixed Forests","Coastal Protection","#9e9ac8","pct_change",-0.478807904787318
"37","Tundra","Coastal Protection","#9e9ac8","year_1992",0.733700215816498
"38","Tundra","Coastal Protection","#9e9ac8","year_2020",0.746045112609863
"39","Tundra","Coastal Protection","#9e9ac8","pct_change",1.68255324548691
"40","Tropical & Subtropical Grasslands, Savannas & Shrublands","Coastal Protection","#9e9ac8","year_1992",1.21223199367523
"41","Tropical & Subtropical Grasslands, Savannas & Shrublands","Coastal Protection","#9e9ac8","year_2020",1.19908165931702
"42","Tropical & Subtropical Grasslands, Savannas & Shrublands","Coastal Protection","#9e9ac8","pct_change",-1.08480343917842
"43","Mangroves","Coastal Protection","#9e9ac8","year_1992",1.84757363796234
"44","Mangroves","Coastal Protection","#9e9ac8","year_2020",1.84508264064789
"45","Mangroves","Coastal Protection","#9e9ac8","pct_change",-0.134825333251523
"46","Deserts & Xeric Shrublands","Coastal Protection","#9e9ac8","year_1992",1.13439273834229
"47","Deserts & Xeric Shrublands","Coastal Protection","#9e9ac8","year_2020",1.13229894638062
"48","Deserts & Xeric Shrublands","Coastal Protection","#9e9ac8","pct_change",-0.184573815654871
"49","Temperate Grasslands, Savannas & Shrublands","Nitrogen Export","#2c944c","year_1992",26.9276866912842
"50","Temperate Grasslands, Savannas & Shrublands","Nitrogen Export","#2c944c","year_2020",27.2328987121582
"51","Temperate Grasslands, Savannas & Shrublands","Nitrogen Export","#2c944c","pct_change",1.13345057959542
"52","Tropical & Subtropical Moist Broadleaf Forests","Nitrogen Export","#2c944c","year_1992",23.2797374725342
"53","Tropical & Subtropical Moist Broadleaf Forests","Nitrogen Export","#2c944c","year_2020",24.2328586578369
"54","Tropical & Subtropical Moist Broadleaf Forests","Nitrogen Export","#2c944c","pct_change",4.09420933731407
"55","Temperate Conifer Forests","Nitrogen Export","#2c944c","year_1992",9.6450662612915
"56","Temperate Conifer Forests","Nitrogen Export","#2c944c","year_2020",9.88268089294434
"57","Temperate Conifer Forests","Nitrogen Export","#2c944c","pct_change",2.46358734316276
"58","Tropical & Subtropical Coniferous Forests","Nitrogen Export","#2c944c","year_1992",16.3594837188721
"59","Tropical & Subtropical Coniferous Forests","Nitrogen Export","#2c944c","year_2020",17.3120002746582
"60","Tropical & Subtropical Coniferous Forests","Nitrogen Export","#2c944c","pct_change",5.82241207702227
"61","Rock & Ice","Nitrogen Export","#2c944c","year_1992",3.7154061794281
"62","Rock & Ice","Nitrogen Export","#2c944c","year_2020",3.6935932636261
"63","Rock & Ice","Nitrogen Export","#2c944c","pct_change",-0.587093705199084
"64","Boreal Forests/Taiga","Nitrogen Export","#2c944c","year_1992",2.54366874694824
"65","Boreal Forests/Taiga","Nitrogen Export","#2c944c","year_2020",2.56351518630981
