"","extent","service","color","metric","value"
"1","5. Low income","Coastal Protection","#9e9ac8","year_1992",1.44512641429901
"2","5. Low income","Coastal Protection","#9e9ac8","year_2020",1.43235230445862
"3","5. Low income","Coastal Protection","#9e9ac8","pct_change",-0.883944111324428
"4","4. Lower middle income","Coastal Protection","#9e9ac8","year_1992",1.54060709476471
"5","4. Lower middle income","Coastal Protection","#9e9ac8","year_2020",1.54102504253387
"6","4. Lower middle income","Coastal Protection","#9e9ac8","pct_change",0.0271287708969032
"7","3. Upper middle income","Coastal Protection","#9e9ac8","year_1992",1.50625228881836
"8","3. Upper middle income","Coastal Protection","#9e9ac8","year_2020",1.48216640949249
"9","3. Upper middle income","Coastal Protection","#9e9ac8","pct_change",-1.59906009801088
"10","2. High income: nonOECD","Coastal Protection","#9e9ac8","year_1992",0.740155935287476
"11","2. High income: nonOECD","Coastal Protection","#9e9ac8","year_2020",0.743512511253357
"12","2. High income: nonOECD","Coastal Protection","#9e9ac8","pct_change",0.453495784584545
"13","1. High income: OECD","Coastal Protection","#9e9ac8","year_1992",1.45451688766479
"14","1. High income: OECD","Coastal Protection","#9e9ac8","year_2020",1.45082128047943
"15","1. High income: OECD","Coastal Protection","#9e9ac8","pct_change",-0.254077984016621
"16","5. Low income","Nitrogen Export","#2c944c","year_1992",11.2748432159424
"17","5. Low income","Nitrogen Export","#2c944c","year_2020",11.5031356811523
"18","5. Low income","Nitrogen Export","#2c944c","pct_change",2.02479503118143
"19","4. Lower middle income","Nitrogen Export","#2c944c","year_1992",30.4150505065918
"20","4. Lower middle income","Nitrogen Export","#2c944c","year_2020",30.7635974884033
"21","4. Lower middle income","Nitrogen Export","#2c944c","pct_change",1.14596877534679
"22","3. Upper middle income","Nitrogen Export","#2c944c","year_1992",24.7743835449219
"23","3. Upper middle income","Nitrogen Export","#2c944c","year_2020",25.3394317626953
"24","3. Upper middle income","Nitrogen Export","#2c944c","pct_change",2.28077609579601
"25","2. High income: nonOECD","Nitrogen Export","#2c944c","year_1992",11.6070232391357
"26","2. High income: nonOECD","Nitrogen Export","#2c944c","year_2020",12.7220373153687
"27","2. High income: nonOECD","Nitrogen Export","#2c944c","pct_change",9.60637411729718
"28","1. High income: OECD","Nitrogen Export","#2c944c","year_1992",24.225191116333
"29","1. High income: OECD","Nitrogen Export","#2c944c","year_2020",24.4065723419189
"30","1. High income: OECD","Nitrogen Export","#2c944c","pct_change",0.748729802439446
"31","5. Low income","Sediment Export","#08306b","year_1992",84.71728515625
"32","5. Low income","Sediment Export","#08306b","year_2020",85.8249664306641
"33","5. Low income","Sediment Export","#08306b","pct_change",1.30750327087457
"34","4. Lower middle income","Sediment Export","#08306b","year_1992",89.3054809570312
"35","4. Lower middle income","Sediment Export","#08306b","year_2020",91.2880783081055
"36","4. Lower middle income","Sediment Export","#08306b","pct_change",2.22001755080208
"37","3. Upper middle income","Sediment Export","#08306b","year_1992",49.055492401123
"38","3. Upper middle income","Sediment Export","#08306b","year_2020",49.0966796875
"39","3. Upper middle income","Sediment Export","#08306b","pct_change",0.0839606012721625
"40","2. High income: nonOECD","Sediment Export","#08306b","year_1992",103.468559265137
"41","2. High income: nonOECD","Sediment Export","#08306b","year_2020",114.998138427734
