"","subregion","mean","raster_name","year"
"1","Seven seas (open ocean)",0.849511623382568,"global_n_retention_1992_compressed",1992
"2","Antarctica",NA,"global_n_retention_1992_compressed",1992
"3","Northern Africa",0.688565790653229,"global_n_retention_1992_compressed",1992
"4","Central Asia",0.779392063617706,"global_n_retention_1992_compressed",1992
"5","Eastern Asia",0.783147990703583,"global_n_retention_1992_compressed",1992
"6","Melanesia",0.912927567958832,"global_n_retention_1992_compressed",1992
"7","Middle Africa",0.860500872135162,"global_n_retention_1992_compressed",1992
"8","South-Eastern Asia",0.879826664924622,"global_n_retention_1992_compressed",1992
"9","Southern Europe",0.840405881404877,"global_n_retention_1992_compressed",1992
"10","Western Africa",0.756999373435974,"global_n_retention_1992_compressed",1992
"11","Eastern Europe",0.874460995197296,"global_n_retention_1992_compressed",1992
"12","Southern Asia",0.77173787355423,"global_n_retention_1992_compressed",1992
"13","Southern Africa",0.824112832546234,"global_n_retention_1992_compressed",1992
"14","Caribbean",0.901241064071655,"global_n_retention_1992_compressed",1992
"15","Northern Europe",0.872424602508545,"global_n_retention_1992_compressed",1992
"16","Polynesia",NA,"global_n_retention_1992_compressed",1992
"17","Micronesia",0.823742270469666,"global_n_retention_1992_compressed",1992
"18","Australia and New Zealand",0.808497369289398,"global_n_retention_1992_compressed",1992
"19","Eastern Africa",0.855802774429321,"global_n_retention_1992_compressed",1992
"20","Northern America",0.879556655883789,"global_n_retention_1992_compressed",1992
"21","Central America",0.872629761695862,"global_n_retention_1992_compressed",1992
"22","Western Asia",0.700372219085693,"global_n_retention_1992_compressed",1992
"23","Western Europe",0.850969016551971,"global_n_retention_1992_compressed",1992
"24","South America",0.877517104148865,"global_n_retention_1992_compressed",1992
"25","Seven seas (open ocean)",0.849511623382568,"global_n_retention_1995_compressed",1995
"26","Antarctica",NA,"global_n_retention_1995_compressed",1995
"27","Northern Africa",0.68848067522049,"global_n_retention_1995_compressed",1995
"28","Central Asia",0.779236137866974,"global_n_retention_1995_compressed",1995
"29","Eastern Asia",0.782578587532043,"global_n_retention_1995_compressed",1995
