,WWF_biome,mean,raster_name,service,color
1,"Temperate Grasslands, Savannas & Shrublands",-0.00661199,coastal_risk_esa1992_value_md5_3bd250,Coastal Protection,#9e9ac8
2,Tropical & Subtropical Moist Broadleaf Forests,0.009637004,coastal_risk_esa1992_value_md5_3bd250,Coastal Protection,#9e9ac8
3,Temperate Conifer Forests,-0.003659913,coastal_risk_esa1992_value_md5_3bd250,Coastal Protection,#9e9ac8
4,Tropical & Subtropical Coniferous Forests,-0.018437676,coastal_risk_esa1992_value_md5_3bd250,Coastal Protection,#9e9ac8
5,Rock & Ice,0.000186755,coastal_risk_esa1992_value_md5_3bd250,Coastal Protection,#9e9ac8
6,Boreal Forests/Taiga,0.015209369,coastal_risk_esa1992_value_md5_3bd250,Coastal Protection,#9e9ac8
7,Montane Grasslands & Shrublands,-0.025273308,coastal_risk_esa1992_value_md5_3bd250,Coastal Protection,#9e9ac8
8,Lakes,NA,coastal_risk_esa1992_value_md5_3bd250,Coastal Protection,#9e9ac8
9,Flooded Grasslands & Savannas,0.012315303,coastal_risk_esa1992_value_md5_3bd250,Coastal Protection,#9e9ac8
10,"Mediterranean Forests, Woodlands & Scrub",-0.004436927,coastal_risk_esa1992_value_md5_3bd250,Coastal Protection,#9e9ac8
11,Tropical & Subtropical Dry Broadleaf Forests,-0.021173485,coastal_risk_esa1992_value_md5_3bd250,Coastal Protection,#9e9ac8
12,Temperate Broadleaf & Mixed Forests,0.012908314,coastal_risk_esa1992_value_md5_3bd250,Coastal Protection,#9e9ac8
13,Tundra,-0.009360357,coastal_risk_esa1992_value_md5_3bd250,Coastal Protection,#9e9ac8
14,"Tropical & Subtropical Grasslands, Savannas & Shrublands",0.004175545,coastal_risk_esa1992_value_md5_3bd250,Coastal Protection,#9e9ac8
15,Mangroves,0.003235738,coastal_risk_esa1992_value_md5_3bd250,Coastal Protection,#9e9ac8
16,Deserts & Xeric Shrublands,0.000904031,coastal_risk_esa1992_value_md5_3bd250,Coastal Protection,#9e9ac8
17,"Temperate Grasslands, Savannas & Shrublands",8941.952148,nature_access_lspop2019_ESA2020ag_compressed_md5_6496bd,Nature Access,#A57C00
18,Tropical & Subtropical Moist Broadleaf Forests,44062.94141,nature_access_lspop2019_ESA2020ag_compressed_md5_6496bd,Nature Access,#A57C00
19,Temperate Conifer Forests,11752.1084,nature_access_lspop2019_ESA2020ag_compressed_md5_6496bd,Nature Access,#A57C00
20,Tropical & Subtropical Coniferous Forests,15673.97461,nature_access_lspop2019_ESA2020ag_compressed_md5_6496bd,Nature Access,#A57C00
21,Rock & Ice,0.641407371,nature_access_lspop2019_ESA2020ag_compressed_md5_6496bd,Nature Access,#A57C00
22,Boreal Forests/Taiga,1220.294922,nature_access_lspop2019_ESA2020ag_compressed_md5_6496bd,Nature Access,#A57C00
23,Montane Grasslands & Shrublands,7011.31543,nature_access_lspop2019_ESA2020ag_compressed_md5_6496bd,Nature Access,#A57C00
24,Lakes,4139.258301,nature_access_lspop2019_ESA2020ag_compressed_md5_6496bd,Nature Access,#A57C00
25,Flooded Grasslands & Savannas,2770.688721,nature_access_lspop2019_ESA2020ag_compressed_md5_6496bd,Nature Access,#A57C00
26,"Mediterranean Forests, Woodlands & Scrub",63309.46094,nature_access_lspop2019_ESA2020ag_compressed_md5_6496bd,Nature Access,#A57C00
27,Tropical & Subtropical Dry Broadleaf Forests,34006.95313,nature_access_lspop2019_ESA2020ag_compressed_md5_6496bd,Nature Access,#A57C00
28,Temperate Broadleaf & Mixed Forests,59993.76563,nature_access_lspop2019_ESA2020ag_compressed_md5_6496bd,Nature Access,#A57C00
29,Tundra,31.67636681,nature_access_lspop2019_ESA2020ag_compressed_md5_6496bd,Nature Access,#A57C00
30,"Tropical & Subtropical Grasslands, Savannas & Shrublands",7202.977051,nature_access_lspop2019_ESA2020ag_compressed_md5_6496bd,Nature Access,#A57C00
31,Mangroves,56329.02344,nature_access_lspop2019_ESA2020ag_compressed_md5_6496bd,Nature Access,#A57C00
32,Deserts & Xeric Shrublands,5830.894043,nature_access_lspop2019_ESA2020ag_compressed_md5_6496bd,Nature Access,#A57C00
33,"Temperate Grasslands, Savannas & Shrublands",-0.305425376,global_n_export_tnc_esa1992_compressed_md5_728edc,Nitrogen Export,#2c944c
34,Tropical & Subtropical Moist Broadleaf Forests,-0.953122318,global_n_export_tnc_esa1992_compressed_md5_728edc,Nitrogen Export,#2c944c
35,Temperate Conifer Forests,-0.237614617,global_n_export_tnc_esa1992_compressed_md5_728edc,Nitrogen Export,#2c944c
36,Tropical & Subtropical Coniferous Forests,-0.952516794,global_n_export_tnc_esa1992_compressed_md5_728edc,Nitrogen Export,#2c944c
37,Rock & Ice,0.021812731,global_n_export_tnc_esa1992_compressed_md5_728edc,Nitrogen Export,#2c944c
38,Boreal Forests/Taiga,-0.019846572,global_n_export_tnc_esa1992_compressed_md5_728edc,Nitrogen Export,#2c944c
39,Montane Grasslands & Shrublands,-0.45514676,global_n_export_tnc_esa1992_compressed_md5_728edc,Nitrogen Export,#2c944c
40,Lakes,-0.036570519,global_n_export_tnc_esa1992_compressed_md5_728edc,Nitrogen Export,#2c944c
41,Flooded Grasslands & Savannas,-0.519403875,global_n_export_tnc_esa1992_compressed_md5_728edc,Nitrogen Export,#2c944c
42,"Mediterranean Forests, Woodlands & Scrub",-1.25897181,global_n_export_tnc_esa1992_compressed_md5_728edc,Nitrogen Export,#2c944c
43,Tropical & Subtropical Dry Broadleaf Forests,-0.346061796,global_n_export_tnc_esa1992_compressed_md5_728edc,Nitrogen Export,#2c944c
44,Temperate Broadleaf & Mixed Forests,-0.1963723,global_n_export_tnc_esa1992_compressed_md5_728edc,Nitrogen Export,#2c944c
45,Tundra,-0.002445137,global_n_export_tnc_esa1992_compressed_md5_728edc,Nitrogen Export,#2c944c
46,"Tropical & Subtropical Grasslands, Savannas & Shrublands",-0.142633423,global_n_export_tnc_esa1992_compressed_md5_728edc,Nitrogen Export,#2c944c
47,Mangroves,0.170723543,global_n_export_tnc_esa1992_compressed_md5_728edc,Nitrogen Export,#2c944c
48,Deserts & Xeric Shrublands,-0.382594287,global_n_export_tnc_esa1992_compressed_md5_728edc,Nitrogen Export,#2c944c
49,"Temperate Grasslands, Savannas & Shrublands",-0.017188638,realized_polllination_on_ag_ESA1992mar_md5_d3d0d3,Pollination,#dd1c77
50,Tropical & Subtropical Moist Broadleaf Forests,-0.013593157,realized_polllination_on_ag_ESA1992mar_md5_d3d0d3,Pollination,#dd1c77
51,Temperate Conifer Forests,-0.009198463,realized_polllination_on_ag_ESA1992mar_md5_d3d0d3,Pollination,#dd1c77
52,Tropical & Subtropical Coniferous Forests,-0.025593502,realized_polllination_on_ag_ESA1992mar_md5_d3d0d3,Pollination,#dd1c77
53,Rock & Ice,-2.92E-09,realized_polllination_on_ag_ESA1992mar_md5_d3d0d3,Pollination,#dd1c77
54,Boreal Forests/Taiga,-0.000184789,realized_polllination_on_ag_ESA1992mar_md5_d3d0d3,Pollination,#dd1c77
55,Montane Grasslands & Shrublands,-0.002383779,realized_polllination_on_ag_ESA1992mar_md5_d3d0d3,Pollination,#dd1c77
56,Lakes,5.38E-05,realized_polllination_on_ag_ESA1992mar_md5_d3d0d3,Pollination,#dd1c77
57,Flooded Grasslands & Savannas,-0.045399666,realized_polllination_on_ag_ESA1992mar_md5_d3d0d3,Pollination,#dd1c77
58,"Mediterranean Forests, Woodlands & Scrub",-0.061650544,realized_polllination_on_ag_ESA1992mar_md5_d3d0d3,Pollination,#dd1c77
59,Tropical & Subtropical Dry Broadleaf Forests,-0.01264581,realized_polllination_on_ag_ESA1992mar_md5_d3d0d3,Pollination,#dd1c77
60,Temperate Broadleaf & Mixed Forests,-0.065369718,realized_polllination_on_ag_ESA1992mar_md5_d3d0d3,Pollination,#dd1c77
61,Tundra,3.19E-07,realized_polllination_on_ag_ESA1992mar_md5_d3d0d3,Pollination,#dd1c77
62,"Tropical & Subtropical Grasslands, Savannas & Shrublands",-0.003234325,realized_polllination_on_ag_ESA1992mar_md5_d3d0d3,Pollination,#dd1c77
63,Mangroves,-0.017987072,realized_polllination_on_ag_ESA1992mar_md5_d3d0d3,Pollination,#dd1c77
64,Deserts & Xeric Shrublands,-0.00640069,realized_polllination_on_ag_ESA1992mar_md5_d3d0d3,Pollination,#dd1c77
65,"Temperate Grasslands, Savannas & Shrublands",0.066878147,global_sed_export_marine_mod_ESA_1992_compressed_md5_18eaae,Sediment Export,#08306b
66,Tropical & Subtropical Moist Broadleaf Forests,-5.145162582,global_sed_export_marine_mod_ESA_1992_compressed_md5_18eaae,Sediment Export,#08306b
67,Temperate Conifer Forests,-0.74288249,global_sed_export_marine_mod_ESA_1992_compressed_md5_18eaae,Sediment Export,#08306b
68,Tropical & Subtropical Coniferous Forests,-3.848861694,global_sed_export_marine_mod_ESA_1992_compressed_md5_18eaae,Sediment Export,#08306b
69,Rock & Ice,-9.444787025,global_sed_export_marine_mod_ESA_1992_compressed_md5_18eaae,Sediment Export,#08306b
70,Boreal Forests/Taiga,-0.216034383,global_sed_export_marine_mod_ESA_1992_compressed_md5_18eaae,Sediment Export,#08306b
