"","continent","mean","raster_name","service","color"
"1","Seven seas (open ocean)",0.00771568669006228,"coastal_risk_esa1992_value_md5_3bd250","Coastal Protection","#9e9ac8"
"2","North America",-0.00129263394046575,"coastal_risk_esa1992_value_md5_3bd250","Coastal Protection","#9e9ac8"
"3","South America",0.0201200619339943,"coastal_risk_esa1992_value_md5_3bd250","Coastal Protection","#9e9ac8"
"4","Antarctica",NA,"coastal_risk_esa1992_value_md5_3bd250","Coastal Protection","#9e9ac8"
"5","Oceania",0.000733526714611799,"coastal_risk_esa1992_value_md5_3bd250","Coastal Protection","#9e9ac8"
"6","Asia",0.00306950160302222,"coastal_risk_esa1992_value_md5_3bd250","Coastal Protection","#9e9ac8"
"7","Africa",-0.00643367925658822,"coastal_risk_esa1992_value_md5_3bd250","Coastal Protection","#9e9ac8"
"8","Europe",0.00328182149678469,"coastal_risk_esa1992_value_md5_3bd250","Coastal Protection","#9e9ac8"
"9","Seven seas (open ocean)",122884.71875,"nature_access_lspop2019_ESA2020ag_compressed_md5_6496bd","Nature Access","#A57C00"
"10","North America",18588.052734375,"nature_access_lspop2019_ESA2020ag_compressed_md5_6496bd","Nature Access","#A57C00"
"11","South America",12389.849609375,"nature_access_lspop2019_ESA2020ag_compressed_md5_6496bd","Nature Access","#A57C00"
"12","Antarctica",NA,"nature_access_lspop2019_ESA2020ag_compressed_md5_6496bd","Nature Access","#A57C00"
"13","Oceania",4801.46875,"nature_access_lspop2019_ESA2020ag_compressed_md5_6496bd","Nature Access","#A57C00"
"14","Asia",43722.77734375,"nature_access_lspop2019_ESA2020ag_compressed_md5_6496bd","Nature Access","#A57C00"
"15","Africa",11739.5439453125,"nature_access_lspop2019_ESA2020ag_compressed_md5_6496bd","Nature Access","#A57C00"
"16","Europe",36859.953125,"nature_access_lspop2019_ESA2020ag_compressed_md5_6496bd","Nature Access","#A57C00"
"17","Seven seas (open ocean)",NA,"global_n_export_tnc_esa1992_compressed_md5_728edc","Nitrogen Export","#2c944c"
"18","North America",-0.276050090789795,"global_n_export_tnc_esa1992_compressed_md5_728edc","Nitrogen Export","#2c944c"
"19","South America",-0.272732228040695,"global_n_export_tnc_esa1992_compressed_md5_728edc","Nitrogen Export","#2c944c"
"20","Antarctica",NA,"global_n_export_tnc_esa1992_compressed_md5_728edc","Nitrogen Export","#2c944c"
"21","Oceania",-0.19429674744606,"global_n_export_tnc_esa1992_compressed_md5_728edc","Nitrogen Export","#2c944c"
"22","Asia",-1.01134347915649,"global_n_export_tnc_esa1992_compressed_md5_728edc","Nitrogen Export","#2c944c"
"23","Africa",-0.306186646223068,"global_n_export_tnc_esa1992_compressed_md5_728edc","Nitrogen Export","#2c944c"
"24","Europe",0.137926831841469,"global_n_export_tnc_esa1992_compressed_md5_728edc","Nitrogen Export","#2c944c"
"25","Seven seas (open ocean)",0,"realized_polllination_on_ag_ESA1992mar_md5_d3d0d3","Pollination","#dd1c77"
"26","North America",-0.00776880467310548,"realized_polllination_on_ag_ESA1992mar_md5_d3d0d3","Pollination","#dd1c77"
"27","South America",-0.000473381718620658,"realized_polllination_on_ag_ESA1992mar_md5_d3d0d3","Pollination","#dd1c77"
"28","Antarctica",0,"realized_polllination_on_ag_ESA1992mar_md5_d3d0d3","Pollination","#dd1c77"
"29","Oceania",-0.0021564036142081,"realized_polllination_on_ag_ESA1992mar_md5_d3d0d3","Pollination","#dd1c77"
"30","Asia",-0.0368041768670082,"realized_polllination_on_ag_ESA1992mar_md5_d3d0d3","Pollination","#dd1c77"
"31","Africa",-0.00827508326619864,"realized_polllination_on_ag_ESA1992mar_md5_d3d0d3","Pollination","#dd1c77"
"32","Europe",-0.00848885718733072,"realized_polllination_on_ag_ESA1992mar_md5_d3d0d3","Pollination","#dd1c77"
"33","Seven seas (open ocean)",NA,"global_sed_export_marine_mod_ESA_1992_compressed_md5_18eaae","Sediment Export","#08306b"
"34","North America",-0.342851042747498,"global_sed_export_marine_mod_ESA_1992_compressed_md5_18eaae","Sediment Export","#08306b"
"35","South America",0.808257400989532,"global_sed_export_marine_mod_ESA_1992_compressed_md5_18eaae","Sediment Export","#08306b"
"36","Antarctica",NA,"global_sed_export_marine_mod_ESA_1992_compressed_md5_18eaae","Sediment Export","#08306b"
"37","Oceania",-2.64846539497375,"global_sed_export_marine_mod_ESA_1992_compressed_md5_18eaae","Sediment Export","#08306b"
"38","Asia",-1.74692726135254,"global_sed_export_marine_mod_ESA_1992_compressed_md5_18eaae","Sediment Export","#08306b"
"39","Africa",-0.527131021022797,"global_sed_export_marine_mod_ESA_1992_compressed_md5_18eaae","Sediment Export","#08306b"
"40","Europe",-0.39184233546257,"global_sed_export_marine_mod_ESA_1992_compressed_md5_18eaae","Sediment Export","#08306b"
