"","income_grp","mean","raster_name","service","color"
"1","5. Low income",0.00236705644056201,"coastal_risk_esa1992_value_md5_3bd250","Coastal Protection","#9e9ac8"
"2","4. Lower middle income",-0.00217110197991133,"coastal_risk_esa1992_value_md5_3bd250","Coastal Protection","#9e9ac8"
"3","3. Upper middle income",0.0112352119758725,"coastal_risk_esa1992_value_md5_3bd250","Coastal Protection","#9e9ac8"
"4","2. High income: nonOECD",-0.00123826088383794,"coastal_risk_esa1992_value_md5_3bd250","Coastal Protection","#9e9ac8"
"5","1. High income: OECD",-0.00029676387202926,"coastal_risk_esa1992_value_md5_3bd250","Coastal Protection","#9e9ac8"
"6","5. Low income",9466.7451171875,"nature_access_lspop2019_ESA2020ag_compressed_md5_6496bd","Nature Access","#A57C00"
"7","4. Lower middle income",47797.3359375,"nature_access_lspop2019_ESA2020ag_compressed_md5_6496bd","Nature Access","#A57C00"
"8","3. Upper middle income",14366.5400390625,"nature_access_lspop2019_ESA2020ag_compressed_md5_6496bd","Nature Access","#A57C00"
"9","2. High income: nonOECD",74042.8828125,"nature_access_lspop2019_ESA2020ag_compressed_md5_6496bd","Nature Access","#A57C00"
"10","1. High income: OECD",37511.33203125,"nature_access_lspop2019_ESA2020ag_compressed_md5_6496bd","Nature Access","#A57C00"
"11","5. Low income",-0.227625504136086,"global_n_export_tnc_esa1992_compressed_md5_728edc","Nitrogen Export","#2c944c"
"12","4. Lower middle income",-0.348545908927917,"global_n_export_tnc_esa1992_compressed_md5_728edc","Nitrogen Export","#2c944c"
"13","3. Upper middle income",-0.565099537372589,"global_n_export_tnc_esa1992_compressed_md5_728edc","Nitrogen Export","#2c944c"
"14","2. High income: nonOECD",-1.11501336097717,"global_n_export_tnc_esa1992_compressed_md5_728edc","Nitrogen Export","#2c944c"
"15","1. High income: OECD",-0.181381896138191,"global_n_export_tnc_esa1992_compressed_md5_728edc","Nitrogen Export","#2c944c"
"16","5. Low income",-0.00173720065504313,"realized_polllination_on_ag_ESA1992mar_md5_d3d0d3","Pollination","#dd1c77"
"17","4. Lower middle income",-0.0133105777204037,"realized_polllination_on_ag_ESA1992mar_md5_d3d0d3","Pollination","#dd1c77"
"18","3. Upper middle income",-0.0164586938917637,"realized_polllination_on_ag_ESA1992mar_md5_d3d0d3","Pollination","#dd1c77"
"19","2. High income: nonOECD",-0.00567343458533287,"realized_polllination_on_ag_ESA1992mar_md5_d3d0d3","Pollination","#dd1c77"
"20","1. High income: OECD",-0.0118695767596364,"realized_polllination_on_ag_ESA1992mar_md5_d3d0d3","Pollination","#dd1c77"
"21","5. Low income",-1.10097801685333,"global_sed_export_marine_mod_ESA_1992_compressed_md5_18eaae","Sediment Export","#08306b"
"22","4. Lower middle income",-1.96414995193481,"global_sed_export_marine_mod_ESA_1992_compressed_md5_18eaae","Sediment Export","#08306b"
"23","3. Upper middle income",-0.0411887094378471,"global_sed_export_marine_mod_ESA_1992_compressed_md5_18eaae","Sediment Export","#08306b"
"24","2. High income: nonOECD",-11.5295829772949,"global_sed_export_marine_mod_ESA_1992_compressed_md5_18eaae","Sediment Export","#08306b"
"25","1. High income: OECD",-0.9167440533638,"global_sed_export_marine_mod_ESA_1992_compressed_md5_18eaae","Sediment Export","#08306b"
