"","region_wb","mean","median","raster_name","service","color"
"1","Sub-Saharan Africa",-0.00541873835027218,-5.76387142916185e-11,"coastal_risk_esa1992_value_md5_3bd250","Coastal Protection","#9e9ac8"
"2","Europe & Central Asia",0.00298613868653774,3.96130222994156e-12,"coastal_risk_esa1992_value_md5_3bd250","Coastal Protection","#9e9ac8"
"3","East Asia & Pacific",0.00194413948338479,1.71508845141725e-11,"coastal_risk_esa1992_value_md5_3bd250","Coastal Protection","#9e9ac8"
"4","Middle East & North Africa",-0.00284678675234318,-1.15078371253811e-09,"coastal_risk_esa1992_value_md5_3bd250","Coastal Protection","#9e9ac8"
"5","South Asia",-0.000286701659206301,-1.84116420408233e-09,"coastal_risk_esa1992_value_md5_3bd250","Coastal Protection","#9e9ac8"
"6","Latin America & Caribbean",0.0100694848224521,1.1854907281509e-10,"coastal_risk_esa1992_value_md5_3bd250","Coastal Protection","#9e9ac8"
"7","North America",0.000786422751843929,2.74527764397302e-11,"coastal_risk_esa1992_value_md5_3bd250","Coastal Protection","#9e9ac8"
"8","Antarctica",0,0,"coastal_risk_esa1992_value_md5_3bd250","Coastal Protection","#9e9ac8"
"9","Sub-Saharan Africa",11165.6474609375,1.14973515726116e-06,"nature_access_lspop2019_ESA2020ag_compressed_md5_6496bd","Nitrogen Export","#2c944c"
"10","Europe & Central Asia",30364.763671875,5.52494690335335e-05,"nature_access_lspop2019_ESA2020ag_compressed_md5_6496bd","Nitrogen Export","#2c944c"
"11","East Asia & Pacific",39560.828125,1.34453914144565e-05,"nature_access_lspop2019_ESA2020ag_compressed_md5_6496bd","Nitrogen Export","#2c944c"
"12","Middle East & North Africa",42687.2578125,3.59169184334799e-05,"nature_access_lspop2019_ESA2020ag_compressed_md5_6496bd","Nitrogen Export","#2c944c"
"13","South Asia",58591.71484375,0.000151793785699587,"nature_access_lspop2019_ESA2020ag_compressed_md5_6496bd","Nitrogen Export","#2c944c"
