...1,HYBAS_ID,NEXT_DOWN,NEXT_SINK,MAIN_BAS,DIST_SINK,DIST_MAIN,SUB_AREA,UP_AREA,PFAF_ID,ENDO,COAST,ORDER,SORT,id,ee_r264_name,dir_ch_2,area_sqkm,service,pct_ch,area_sqkm_country,GHS_BUILT_S_E2020_GLOBE_R2023A_4326_3ss_V1_0_mean,rast_gdpTot_1990_2020_30arcsec.7_mean,GHS_POP_E2020_GLOBE_R2023A_4326_3ss_V1_0.1_mean,GlobPOP_Count_30arc_2020_I32.1_sum,hdi_raster_predictions_2020.1_mean,farmsize_mehrabi.1_mean,GlobPOP_sqkm,pct_ch_trans,pct_ch_focus,threshold
3734,5060072810,0,5060072810,5060072810,0,0,8795.9,8795.9,563976,0,0,1,761,15,Australia,-0.1504,8795.930989,Coastal_Protection,-96.63148381,7718957.407,50.80670075,752717.001,0.199161255,267912.1249,0.819237734,79.62256574,30.45875065,-4.581200021,96.63148381,13.41768206
13,5060000780,0,5060000780,5060000780,0,0,7477.8,7477.8,511113,0,1,0,3,103,Indonesia,-2.647,7477.87201,Sed_export,124.5345107,1922454.709,14.87751459,160039.226,0.259244424,390233.2594,0.654864863,1.801774434,52.18557054,4.832580707,124.5345107,95.03354443
35664,2060002070,0,2060002070,2060002070,0,0,2637.3,2637.3,211038,0,0,1,17,227,Turkey,1.7418,2637.292077,Coastal_Protection,-95.73026285,781771.9107,17.45489363,201049.0863,0.10610811,103930.4601,0.726529401,4.226016041,39.40790206,-4.57192631,95.73026285,13.41768206
50,5060001500,0,5060001500,5060001500,0,0,4711.3,4711.3,511119,0,1,0,9,103,Indonesia,-16.0122,4711.288068,Sed_Ret_Ratio,-1.2048,1922454.709,14.49129897,316505.5356,0.498059067,317785.2462,0.638085209,1.251968822,67.45171104,-0.790636802,1.2048,0.8475
63304,6060029050,0,6060029050,6060029050,0,0,5842.4,5842.4,662901,0,1,0,1767,43,Chile,-0.1906,5842.441073,Coastal_Protection,-95.28514842,772634.7467,10.88089614,1566898.02,0.444385825,350036.8424,0.791550154,NA,59.91319361,-4.567314085,95.28514842,13.41768206
53,5060001500,0,5060001500,5060001500,0,0,4711.3,4711.3,511119,0,1,0,9,103,Indonesia,-16.0122,4711.288068,N_export,43.481,1922454.709,14.49129897,316505.5356,0.498059067,317785.2462,0.638085209,1.251968822,67.45171104,3.795062132,43.481,32.524
144,5060003620,0,5060003620,5060003620,0,0,2971.3,2971.3,511190,0,1,0,25,103,Indonesia,-30.5762,2971.334302,Sed_Ret_Ratio,-1.8022,1922454.709,28.79830157,1163504.906,0.818142748,266913.6721,0.645523362,3.877848694,89.83060348,-1.030404823,1.8022,0.8475
147,5060003620,0,5060003620,5060003620,0,0,2971.3,2971.3,511190,0,1,0,25,103,Indonesia,-30.5762,2971.334302,N_export,63.173,1922454.709,28.79830157,1163504.906,0.818142748,266913.6721,0.645523362,3.877848694,89.83060348,4.161582561,63.173,32.524
148,5060003620,0,5060003620,5060003620,0,0,2971.3,2971.3,511190,0,1,0,25,103,Indonesia,-30.5762,2971.334302,N_Ret_Ratio,-2.648,1922454.709,28.79830157,1163504.906,0.818142748,266913.6721,0.645523362,3.877848694,89.83060348,-1.294179072,2.648,1.24125
150,5060003690,0,5060003690,5060003690,0,0,19228.5,19228.5,511200,0,0,1,26,103,Indonesia,-23.5386,19228.55368,Sed_Ret_Ratio,-2.0839,1922454.709,24.62525115,1274077.225,0.760941969,1144835.713,0.65629798,1.438731464,59.53848261,-1.12619503,2.0839,0.8475
153,5060003690,0,5060003690,5060003690,0,0,19228.5,19228.5,511200,0,0,1,26,103,Indonesia,-23.5386,19228.55368,N_export,62.746,1922454.709,24.62525115,1274077.225,0.760941969,1144835.713,0.65629798,1.438731464,59.53848261,4.154906437,62.746,32.524
154,5060003690,0,5060003690,5060003690,0,0,19228.5,19228.5,511200,0,0,1,26,103,Indonesia,-23.5386,19228.55368,N_Ret_Ratio,-1.549,1922454.709,24.62525115,1274077.225,0.760941969,1144835.713,0.65629798,1.438731464,59.53848261,-0.935701125,1.549,1.24125
155,5060003700,0,5060003700,5060003700,0,0,4331.5,4331.5,511301,0,1,0,27,103,Indonesia,-27.8587,4331.477001,Sed_export,187.8960171,1922454.709,40.56113696,2519181.294,1.32502241,627080.1071,0.659416059,7.24459169,144.7720437,5.241196689,187.8960171,95.03354443
156,5060003700,0,5060003700,5060003700,0,0,4331.5,4331.5,511301,0,1,0,27,103,Indonesia,-27.8587,4331.477001,Sed_Ret_Ratio,-2.2213,1922454.709,40.56113696,2519181.294,1.32502241,627080.1071,0.659416059,7.24459169,144.7720437,-1.169785005,2.2213,0.8475
