"","continent","mean","raster_name","color","year"
"1","Seven seas (open ocean)",NA,"Pot_Sed_ret_1992","#08606b","diff"
"2","North America",0.953996241092682,"Pot_Sed_ret_1992","#08606b","diff"
"3","South America",0.951079487800598,"Pot_Sed_ret_1992","#08606b","diff"
"4","Antarctica",NA,"Pot_Sed_ret_1992","#08606b","diff"
"5","Oceania",0.935268402099609,"Pot_Sed_ret_1992","#08606b","diff"
"6","Asia",0.905513823032379,"Pot_Sed_ret_1992","#08606b","diff"
"7","Africa",0.942474544048309,"Pot_Sed_ret_1992","#08606b","diff"
"8","Europe",0.946995556354523,"Pot_Sed_ret_1992","#08606b","diff"
"9","Seven seas (open ocean)",NA,"Pot_Sed_ret_2020","#08606b","diff"
"10","North America",0.953284502029419,"Pot_Sed_ret_2020","#08606b","diff"
"11","South America",0.949708878993988,"Pot_Sed_ret_2020","#08606b","diff"
"12","Antarctica",NA,"Pot_Sed_ret_2020","#08606b","diff"
"13","Oceania",0.935692965984344,"Pot_Sed_ret_2020","#08606b","diff"
"14","Asia",0.90553081035614,"Pot_Sed_ret_2020","#08606b","diff"
"15","Africa",0.942203938961029,"Pot_Sed_ret_2020","#08606b","diff"
"16","Europe",0.946755409240723,"Pot_Sed_ret_2020","#08606b","diff"
"17","Seven seas (open ocean)",NA,"Pot_Sed_ret_diff","#68606b","diff"
"18","North America",0.000694067333824933,"Pot_Sed_ret_diff","#68606b","diff"
"19","South America",0.00134061090648174,"Pot_Sed_ret_diff","#68606b","diff"
"20","Antarctica",NA,"Pot_Sed_ret_diff","#68606b","diff"
"21","Oceania",-0.000421867502154782,"Pot_Sed_ret_diff","#68606b","diff"
"22","Asia",-1.35150448841159e-05,"Pot_Sed_ret_diff","#68606b","diff"
"23","Africa",0.000273513171123341,"Pot_Sed_ret_diff","#68606b","diff"
"24","Europe",0.000238142063608393,"Pot_Sed_ret_diff","#68606b","diff"
