"","Service","Country","Metric","Value"
"1","Coastal Protection","BRAZIL","Share_service",49.7984088996003
"2","Area","BRAZIL","Share_AOI",10.8341829509942
"3","Nitrogen Retention","BRAZIL","Share_service",6.93007606809215
"4","Sediment Retention","BRAZIL","Share_service",18.215865365432
"5","Pollination","BRAZIL","Share_service",4.02110128308953
"6","Coastal Protection","MADAGASCAR","Share_service",20.2401701488607
"7","Area","MADAGASCAR","Share_AOI",16.9099775346373
"8","Nitrogen Retention","MADAGASCAR","Share_service",20.6069627249144
"9","Sediment Retention","MADAGASCAR","Share_service",41.0262507385696
"10","Pollination","MADAGASCAR","Share_service",10.4193037583108
"11","Coastal Protection","MEXICO","Share_service",63.888270111328
"12","Area","MEXICO","Share_AOI",26.7044581613886
"13","Nitrogen Retention","MEXICO","Share_service",12.0661958446351
"14","Sediment Retention","MEXICO","Share_service",32.7159564667314
"15","Pollination","MEXICO","Share_service",2.25964136092474
"16","Coastal Protection","PERU","Share_service",NA
"17","Area","PERU","Share_AOI",45.3060474155194
"18","Nitrogen Retention","PERU","Share_service",41.7165171404104
"19","Sediment Retention","PERU","Share_service",91.3417739595373
"20","Pollination","PERU","Share_service",1.70663779220124
"21","Coastal Protection","VIETNAM","Share_service",21.9190742872099
"22","Area","VIETNAM","Share_AOI",17.9756008001253
"23","Nitrogen Retention","VIETNAM","Share_service",4.84253020836254
"24","Sediment Retention","VIETNAM","Share_service",28.6643067387023
"25","Pollination","VIETNAM","Share_service",2.59894772388309
"26","Access","BRAZIL","Share_service",35.874117246729
"27","Area","BRAZIL","Share_AOI",10.8341829509942
"28","Access","MADAGASCAR","Share_service",15.6543059268634
"29","Area","MADAGASCAR","Share_AOI",16.9099775346373
"30","Access","MEXICO","Share_service",17.2015730608238
"31","Area","MEXICO","Share_AOI",26.7044581613886
"32","Access","PERU","Share_service",1.71948841010186
"33","Area","PERU","Share_AOI",45.3060474155194
"34","Access","VIETNAM","Share_service",11.4346712465597
"35","Area","VIETNAM","Share_AOI",17.9756008001253
