"","Service","Country","Metric","Value"
"1","Coastal Protection","BRAZIL","Coastal Protection",79.6393834110558
"2","Area","BRAZIL","Area",47.2732250337821
"3","Access","BRAZIL","Access",53.9940345334281
"4","Nitrogen","BRAZIL","Nitrogen",44.2534217149318
"5","Pollination (People fed)","BRAZIL","Pollination (People fed)",65.1903498735405
"6","Pollination - (Habitat)","BRAZIL","Pollination - (Habitat)",62.1494875847605
"7","Sediment","BRAZIL","Sediment",30.5180375517549
"8","Coastal Protection","MADAGASCAR","Coastal Protection",96.5706166594226
"9","Area","MADAGASCAR","Area",12.2010234512497
"10","Access","MADAGASCAR","Access",95.1453304356629
"11","Nitrogen","MADAGASCAR","Nitrogen",77.9540772724791
"12","Pollination (People fed)","MADAGASCAR","Pollination (People fed)",89.8628047433227
"13","Pollination - (Habitat)","MADAGASCAR","Pollination - (Habitat)",91.4106439585199
"14","Sediment","MADAGASCAR","Sediment",84.7396378956607
"15","Coastal Protection","MEXICO","Coastal Protection",89.251716223148
"16","Area","MEXICO","Area",16.761113365252
"17","Access","MEXICO","Access",56.8886929386187
"18","Nitrogen","MEXICO","Nitrogen",30.8517332972673
"19","Pollination (People fed)","MEXICO","Pollination (People fed)",9.26298576410508
"20","Pollination - (Habitat)","MEXICO","Pollination - (Habitat)",15.8575029718461
"21","Sediment","MEXICO","Sediment",42.6169650640674
"22","Coastal Protection","PERU","Coastal Protection",NA
"23","Area","PERU","Area",0.68515200024611
"24","Access","PERU","Access",79.7794265655032
"25","Nitrogen","PERU","Nitrogen",66.9130221216577
"26","Pollination (People fed)","PERU","Pollination (People fed)",57.151176310869
"27","Pollination - (Habitat)","PERU","Pollination - (Habitat)",39.2428896107121
"28","Sediment","PERU","Sediment",79.3928011700161
"29","Coastal Protection","VIETNAM","Coastal Protection",63.9192762924098
"30","Area","VIETNAM","Area",18.8908427173882
"31","Access","VIETNAM","Access",64.3684092077397
"32","Nitrogen","VIETNAM","Nitrogen",63.0514776915178
"33","Pollination (People fed)","VIETNAM","Pollination (People fed)",71.4283320453299
"34","Pollination - (Habitat)","VIETNAM","Pollination - (Habitat)",57.8540817713497
"35","Sediment","VIETNAM","Sediment",67.745394821277
