"","Service","Country","Metric","Value"
"1","Coastal Protection","BRAZIL","Coastal Protection",95.4843364096832
"2","Area","BRAZIL","Area",47.2732250337821
"3","Nitrogen","BRAZIL","Nitrogen",99.3150064329181
"4","Area","BRAZIL","Area",47.2732250337821
"5","Pollination (People fed)","BRAZIL","Pollination (People fed)",98.9813789049476
"6","Area","BRAZIL","Area",47.2732250337821
"7","Pollination - (Habitat)","BRAZIL","Pollination - (Habitat)",98.9822887856372
"8","Area","BRAZIL","Area",47.2732250337821
"9","Sediment","BRAZIL","Sediment",99.475300822207
"10","Area","BRAZIL","Area",47.2732250337821
"11","Coastal Protection","MADAGASCAR","Coastal Protection",93.4249855064415
"12","Area","MADAGASCAR","Area",12.2010234512497
"13","Nitrogen","MADAGASCAR","Nitrogen",99.8001554275542
"14","Area","MADAGASCAR","Area",12.2010234512497
"15","Pollination (People fed)","MADAGASCAR","Pollination (People fed)",99.650247812937
"16","Area","MADAGASCAR","Area",12.2010234512497
"17","Pollination - (Habitat)","MADAGASCAR","Pollination - (Habitat)",99.7024686835595
"18","Area","MADAGASCAR","Area",12.2010234512497
"19","Sediment","MADAGASCAR","Sediment",99.8532024059031
"20","Area","MADAGASCAR","Area",12.2010234512497
"21","Coastal Protection","MEXICO","Coastal Protection",80.8069389036407
"22","Area","MEXICO","Area",16.761113365252
"23","Nitrogen","MEXICO","Nitrogen",99.7761711345148
"24","Area","MEXICO","Area",16.761113365252
"25","Pollination (People fed)","MEXICO","Pollination (People fed)",99.4357305368215
"26","Area","MEXICO","Area",16.761113365252
"27","Pollination - (Habitat)","MEXICO","Pollination - (Habitat)",99.2541823288561
"28","Area","MEXICO","Area",16.761113365252
"29","Sediment","MEXICO","Sediment",99.737046596745
"30","Area","MEXICO","Area",16.761113365252
"31","Coastal Protection","PERU","Coastal Protection",NA
"32","Area","PERU","Area",0.68515200024611
"33","Nitrogen","PERU","Nitrogen",99.97611029706
"34","Area","PERU","Area",0.68515200024611
"35","Pollination (People fed)","PERU","Pollination (People fed)",NA
"36","Area","PERU","Area",0.68515200024611
"37","Pollination - (Habitat)","PERU","Pollination - (Habitat)",100
"38","Area","PERU","Area",0.68515200024611
"39","Sediment","PERU","Sediment",97.9162090696307
"40","Area","PERU","Area",0.68515200024611
"41","Coastal Protection","VIETNAM","Coastal Protection",92.0452458880175
"42","Area","VIETNAM","Area",18.8908427173882
"43","Nitrogen","VIETNAM","Nitrogen",99.7156620325221
"44","Area","VIETNAM","Area",18.8908427173882
"45","Pollination (People fed)","VIETNAM","Pollination (People fed)",99.5246679974101
"46","Area","VIETNAM","Area",18.8908427173882
"47","Pollination - (Habitat)","VIETNAM","Pollination - (Habitat)",99.3787429959658
"48","Area","VIETNAM","Area",18.8908427173882
"49","Sediment","VIETNAM","Sediment",99.6239926585723
"50","Area","VIETNAM","Area",18.8908427173882
