"","Service","Country","Outside","Inside","pix_count_in","share_area","WholeArea","share_service"
"1","nitrogen_ESAmod2-Sc3v1","BRAZIL",115530657.816969,12909810.8048384,164489,13.4456742087366,128440468.621808,10.0512018862616
"2","pollination_ppl_fed_on_ag_10s_Sc3v1_PNVnoag-esa2020","BRAZIL",1885183.14763809,111853.064442361,164489,13.4456742087366,1997036.21208045,5.60095324089469
"3","sediment_ESAmod2-Sc3v1","BRAZIL",542352049.633571,70153417.9828452,164489,13.4456742087366,612505467.616416,11.4535170201581
"4","nitrogen_ESAmod2-Sc3v1","MADAGASCAR",391986.235183001,255213.832019329,28564,28.1988252134854,647200.06720233,39.4335299009701
"5","pollination_ppl_fed_on_ag_10s_Sc3v1_PNVnoag-esa2020","MADAGASCAR",947.162732956818,1077.82654912939,28564,28.1988252134854,2024.98928208621,53.2262841420563
"6","sediment_ESAmod2-Sc3v1","MADAGASCAR",15629159.2464172,45217538.4907715,28564,28.1988252134854,60846697.7371887,74.3138743306609
"7","nitrogen_ESAmod2-Sc3v1","MEXICO",4092167.47480296,621559.453822753,36574,24.0291182402912,4713726.92862571,13.1861574341127
"8","pollination_ppl_fed_on_ag_10s_Sc3v1_PNVnoag-esa2020","MEXICO",21701.9215558964,1119.36374390459,36574,24.0291182402912,22821.285299801,4.90491104773294
"9","sediment_ESAmod2-Sc3v1","MEXICO",713041.635360897,164034.607460156,36574,24.0291182402912,877076.242821053,18.7024342299537
"10","nitrogen_ESAmod2-Sc3v1","PERU",61770.8073958158,153564.201059699,14577,16.5512308111545,215335.008455515,71.3140896880329
"11","pollination_ppl_fed_on_ag_10s_Sc3v1_PNVnoag-esa2020","PERU",0.0153785198926891,0.0119914073729883,14577,16.5512308111545,0.0273699272656774,43.8123465093233
"12","sediment_ESAmod2-Sc3v1","PERU",42248.8226788206,49635.7890392036,14577,16.5512308111545,91884.6117180242,54.0196972171206
"13","nitrogen_ESAmod2-Sc3v1","VIETNAM",1000492.31977987,2563027.08652627,15989,42.0962561213206,3563519.40630615,71.9240389708735
"14","pollination_ppl_fed_on_ag_10s_Sc3v1_PNVnoag-esa2020","VIETNAM",19436.6373206404,21609.167970332,15989,42.0962561213206,41045.8052909725,52.646470978326
"15","sediment_ESAmod2-Sc3v1","VIETNAM",9882026.51117905,32303287.3941444,15989,42.0962561213206,42185313.9053234,76.5747232950375
