"","extent","median","service","color","metric","value"
"1","Latin America & Caribbean",1.84552149991108,"Coastal Protection","#9e9ac8","year_1992",1.83577966690063
"2","Latin America & Caribbean",1.84552149991108,"Coastal Protection","#9e9ac8","year_2020",NA
"3","Latin America & Caribbean",1.84552149991108,"Coastal Protection","#9e9ac8","pct_change",NA
"4","South Asia",1.51498505568813,"Coastal Protection","#9e9ac8","year_1992",1.61877918243408
"5","South Asia",1.51498505568813,"Coastal Protection","#9e9ac8","year_2020",NA
"6","South Asia",1.51498505568813,"Coastal Protection","#9e9ac8","pct_change",NA
"7","Sub-Saharan Africa",1.42198281257799,"Coastal Protection","#9e9ac8","year_1992",1.45378518104553
"8","Sub-Saharan Africa",1.42198281257799,"Coastal Protection","#9e9ac8","year_2020",NA
"9","Sub-Saharan Africa",1.42198281257799,"Coastal Protection","#9e9ac8","pct_change",NA
"10","Europe & Central Asia",0.869459400020526,"Coastal Protection","#9e9ac8","year_1992",1.15816593170166
"11","Europe & Central Asia",0.869459400020526,"Coastal Protection","#9e9ac8","year_2020",NA
"12","Europe & Central Asia",0.869459400020526,"Coastal Protection","#9e9ac8","pct_change",NA
"13","Middle East & North Africa",1.4586875515443,"Coastal Protection","#9e9ac8","year_1992",1.46394979953766
"14","Middle East & North Africa",1.4586875515443,"Coastal Protection","#9e9ac8","year_2020",NA
"15","Middle East & North Africa",1.4586875515443,"Coastal Protection","#9e9ac8","pct_change",NA
"16","East Asia & Pacific",1.42159882752048,"Coastal Protection","#9e9ac8","year_1992",1.57091438770294
"17","East Asia & Pacific",1.42159882752048,"Coastal Protection","#9e9ac8","year_2020",NA
"18","East Asia & Pacific",1.42159882752048,"Coastal Protection","#9e9ac8","pct_change",NA
"19","Antarctica",0.17320098120331,"Coastal Protection","#9e9ac8","year_1992",0.143120557069778
"20","Antarctica",0.17320098120331,"Coastal Protection","#9e9ac8","year_2020",0.143120557069778
"21","Antarctica",0.17320098120331,"Coastal Protection","#9e9ac8","pct_change",0
"22","North America",1.41968041043999,"Coastal Protection","#9e9ac8","year_1992",1.44610583782196
"23","North America",1.41968041043999,"Coastal Protection","#9e9ac8","year_2020",NA
"24","North America",1.41968041043999,"Coastal Protection","#9e9ac8","pct_change",NA
"25","Latin America & Caribbean",1.81870355647597,"Coastal Protection","#9e9ac8","year_1992",NA
"26","Latin America & Caribbean",1.81870355647597,"Coastal Protection","#9e9ac8","year_2020",1.81227719783783
"27","Latin America & Caribbean",1.81870355647597,"Coastal Protection","#9e9ac8","pct_change",NA
"28","South Asia",1.51553865994087,"Coastal Protection","#9e9ac8","year_1992",NA
"29","South Asia",1.51553865994087,"Coastal Protection","#9e9ac8","year_2020",1.622065782547
"30","South Asia",1.51553865994087,"Coastal Protection","#9e9ac8","pct_change",NA
"31","Sub-Saharan Africa",1.42705394856663,"Coastal Protection","#9e9ac8","year_1992",NA
"32","Sub-Saharan Africa",1.42705394856663,"Coastal Protection","#9e9ac8","year_2020",1.46130335330963
"33","Sub-Saharan Africa",1.42705394856663,"Coastal Protection","#9e9ac8","pct_change",NA
"34","Europe & Central Asia",0.863453229593199,"Coastal Protection","#9e9ac8","year_1992",NA
"35","Europe & Central Asia",0.863453229593199,"Coastal Protection","#9e9ac8","year_2020",1.15006339550018
"36","Europe & Central Asia",0.863453229593199,"Coastal Protection","#9e9ac8","pct_change",NA
"37","Middle East & North Africa",1.50483995484136,"Coastal Protection","#9e9ac8","year_1992",NA
"38","Middle East & North Africa",1.50483995484136,"Coastal Protection","#9e9ac8","year_2020",1.49280178546906
"39","Middle East & North Africa",1.50483995484136,"Coastal Protection","#9e9ac8","pct_change",NA
"40","East Asia & Pacific",1.41193484676538,"Coastal Protection","#9e9ac8","year_1992",NA
"41","East Asia & Pacific",1.41193484676538,"Coastal Protection","#9e9ac8","year_2020",1.56603741645813
"42","East Asia & Pacific",1.41193484676538,"Coastal Protection","#9e9ac8","pct_change",NA
"43","North America",1.41638275198424,"Coastal Protection","#9e9ac8","year_1992",NA
"44","North America",1.41638275198424,"Coastal Protection","#9e9ac8","year_2020",1.44174456596375
"45","North America",1.41638275198424,"Coastal Protection","#9e9ac8","pct_change",NA
"46","Latin America & Caribbean",4.45983548033967,"Nitrogen Export","#2c944c","year_1992",13.1957769393921
"47","Latin America & Caribbean",4.45983548033967,"Nitrogen Export","#2c944c","year_2020",NA
"48","Latin America & Caribbean",4.45983548033967,"Nitrogen Export","#2c944c","pct_change",NA
"49","South Asia",20.5434133530316,"Nitrogen Export","#2c944c","year_1992",57.6978607177734
"50","South Asia",20.5434133530316,"Nitrogen Export","#2c944c","year_2020",NA
"51","South Asia",20.5434133530316,"Nitrogen Export","#2c944c","pct_change",NA
"52","Sub-Saharan Africa",6.31702405988402,"Nitrogen Export","#2c944c","year_1992",9.83073806762695
"53","Sub-Saharan Africa",6.31702405988402,"Nitrogen Export","#2c944c","year_2020",NA
"54","Sub-Saharan Africa",6.31702405988402,"Nitrogen Export","#2c944c","pct_change",NA
"55","Europe & Central Asia",4.58880829993605,"Nitrogen Export","#2c944c","year_1992",23.076488494873
"56","Europe & Central Asia",4.58880829993605,"Nitrogen Export","#2c944c","year_2020",NA
"57","Europe & Central Asia",4.58880829993605,"Nitrogen Export","#2c944c","pct_change",NA
"58","Middle East & North Africa",9.12113537610536,"Nitrogen Export","#2c944c","year_1992",43.8323097229004
"59","Middle East & North Africa",9.12113537610536,"Nitrogen Export","#2c944c","year_2020",NA
"60","Middle East & North Africa",9.12113537610536,"Nitrogen Export","#2c944c","pct_change",NA
"61","East Asia & Pacific",8.31611608433803,"Nitrogen Export","#2c944c","year_1992",39.0736999511719
"62","East Asia & Pacific",8.31611608433803,"Nitrogen Export","#2c944c","year_2020",NA
"63","East Asia & Pacific",8.31611608433803,"Nitrogen Export","#2c944c","pct_change",NA
"64","Antarctica",NA,"Nitrogen Export","#2c944c","year_1992",NA
"65","Antarctica",NA,"Nitrogen Export","#2c944c","year_2020",NA
"66","Antarctica",NA,"Nitrogen Export","#2c944c","pct_change",NA
"67","North America",3.50362895811202,"Nitrogen Export","#2c944c","year_1992",18.4919815063477
"68","North America",3.50362895811202,"Nitrogen Export","#2c944c","year_2020",NA
"69","North America",3.50362895811202,"Nitrogen Export","#2c944c","pct_change",NA
"70","Latin America & Caribbean",4.62053650007068,"Nitrogen Export","#2c944c","year_1992",NA
"71","Latin America & Caribbean",4.62053650007068,"Nitrogen Export","#2c944c","year_2020",13.5702037811279
"72","Latin America & Caribbean",4.62053650007068,"Nitrogen Export","#2c944c","pct_change",NA
"73","South Asia",20.3093256172151,"Nitrogen Export","#2c944c","year_1992",NA
"74","South Asia",20.3093256172151,"Nitrogen Export","#2c944c","year_2020",57.6321678161621
"75","South Asia",20.3093256172151,"Nitrogen Export","#2c944c","pct_change",NA
"76","Sub-Saharan Africa",6.25035302810366,"Nitrogen Export","#2c944c","year_1992",NA
"77","Sub-Saharan Africa",6.25035302810366,"Nitrogen Export","#2c944c","year_2020",9.99215698242188
"78","Sub-Saharan Africa",6.25035302810366,"Nitrogen Export","#2c944c","pct_change",NA
"79","Europe & Central Asia",4.61969801993681,"Nitrogen Export","#2c944c","year_1992",NA
"80","Europe & Central Asia",4.61969801993681,"Nitrogen Export","#2c944c","year_2020",23.0495910644531
"81","Europe & Central Asia",4.61969801993681,"Nitrogen Export","#2c944c","pct_change",NA
"82","Middle East & North Africa",9.75438113075921,"Nitrogen Export","#2c944c","year_1992",NA
"83","Middle East & North Africa",9.75438113075921,"Nitrogen Export","#2c944c","year_2020",46.4671630859375
"84","Middle East & North Africa",9.75438113075921,"Nitrogen Export","#2c944c","pct_change",NA
"85","East Asia & Pacific",8.55090264676267,"Nitrogen Export","#2c944c","year_1992",NA
"86","East Asia & Pacific",8.55090264676267,"Nitrogen Export","#2c944c","year_2020",40.0975303649902
"87","East Asia & Pacific",8.55090264676267,"Nitrogen Export","#2c944c","pct_change",NA
"88","North America",3.51802049774102,"Nitrogen Export","#2c944c","year_1992",NA
"89","North America",3.51802049774102,"Nitrogen Export","#2c944c","year_2020",18.6529846191406
"90","North America",3.51802049774102,"Nitrogen Export","#2c944c","pct_change",NA
"91","Latin America & Caribbean",0.245026698938794,"Sediment Export","#08306b","year_1992",55.2080535888672
"92","Latin America & Caribbean",0.245026698938794,"Sediment Export","#08306b","year_2020",NA
