"","Sub_Region","mean","raster_name","service","year","color"
"1","Caribbean",1.3160240650177,"coastal_risk_esa1992_value_md5_3bd250","Coastal_Protection","1992","#9e9ac8"
"2","Antarctica",NA,"coastal_risk_esa1992_value_md5_3bd250","Coastal_Protection","1992","#9e9ac8"
"3","Oceania",1.51275372505188,"coastal_risk_esa1992_value_md5_3bd250","Coastal_Protection","1992","#9e9ac8"
"4","Western Asia",1.29250383377075,"coastal_risk_esa1992_value_md5_3bd250","Coastal_Protection","1992","#9e9ac8"
"5","South-East Asia",1.59309554100037,"coastal_risk_esa1992_value_md5_3bd250","Coastal_Protection","1992","#9e9ac8"
"6","Mesoamerica",1.71009111404419,"coastal_risk_esa1992_value_md5_3bd250","Coastal_Protection","1992","#9e9ac8"
"7","South America",1.98491406440735,"coastal_risk_esa1992_value_md5_3bd250","Coastal_Protection","1992","#9e9ac8"
"8","Southern Africa",1.20791018009186,"coastal_risk_esa1992_value_md5_3bd250","Coastal_Protection","1992","#9e9ac8"
"9","North Africa",1.47026014328003,"coastal_risk_esa1992_value_md5_3bd250","Coastal_Protection","1992","#9e9ac8"
"10","West Africa",1.70516467094421,"coastal_risk_esa1992_value_md5_3bd250","Coastal_Protection","1992","#9e9ac8"
"11","Central and Western Europe",1.42654848098755,"coastal_risk_esa1992_value_md5_3bd250","Coastal_Protection","1992","#9e9ac8"
"12","Central Africa",1.95000493526459,"coastal_risk_esa1992_value_md5_3bd250","Coastal_Protection","1992","#9e9ac8"
"13","Eastern Europe",1.11319530010223,"coastal_risk_esa1992_value_md5_3bd250","Coastal_Protection","1992","#9e9ac8"
"14","Central Asia",NA,"coastal_risk_esa1992_value_md5_3bd250","Coastal_Protection","1992","#9e9ac8"
"15","East Africa and adjacent islands",1.18557238578796,"coastal_risk_esa1992_value_md5_3bd250","Coastal_Protection","1992","#9e9ac8"
"16","South Asia",1.61861562728882,"coastal_risk_esa1992_value_md5_3bd250","Coastal_Protection","1992","#9e9ac8"
"17","North America",1.30931293964386,"coastal_risk_esa1992_value_md5_3bd250","Coastal_Protection","1992","#9e9ac8"
"18","North-East Asia",1.7917366027832,"coastal_risk_esa1992_value_md5_3bd250","Coastal_Protection","1992","#9e9ac8"
"19","Caribbean",1.32735157012939,"coastal_risk_esa2020_value_md5_f9f644","Coastal_Protection","2020","#9e9ac8"
"20","Antarctica",NA,"coastal_risk_esa2020_value_md5_f9f644","Coastal_Protection","2020","#9e9ac8"
"21","Oceania",1.50927269458771,"coastal_risk_esa2020_value_md5_f9f644","Coastal_Protection","2020","#9e9ac8"
"22","Western Asia",1.30552756786346,"coastal_risk_esa2020_value_md5_f9f644","Coastal_Protection","2020","#9e9ac8"
"23","South-East Asia",1.58801531791687,"coastal_risk_esa2020_value_md5_f9f644","Coastal_Protection","2020","#9e9ac8"
"24","Mesoamerica",1.72434496879578,"coastal_risk_esa2020_value_md5_f9f644","Coastal_Protection","2020","#9e9ac8"
"25","South America",1.95139539241791,"coastal_risk_esa2020_value_md5_f9f644","Coastal_Protection","2020","#9e9ac8"
"26","Southern Africa",1.23463499546051,"coastal_risk_esa2020_value_md5_f9f644","Coastal_Protection","2020","#9e9ac8"
"27","North Africa",1.51032567024231,"coastal_risk_esa2020_value_md5_f9f644","Coastal_Protection","2020","#9e9ac8"
"28","West Africa",1.69871151447296,"coastal_risk_esa2020_value_md5_f9f644","Coastal_Protection","2020","#9e9ac8"
"29","Central and Western Europe",1.42982518672943,"coastal_risk_esa2020_value_md5_f9f644","Coastal_Protection","2020","#9e9ac8"
"30","Central Africa",2.01690483093262,"coastal_risk_esa2020_value_md5_f9f644","Coastal_Protection","2020","#9e9ac8"
"31","Eastern Europe",1.09275269508362,"coastal_risk_esa2020_value_md5_f9f644","Coastal_Protection","2020","#9e9ac8"
"32","Central Asia",NA,"coastal_risk_esa2020_value_md5_f9f644","Coastal_Protection","2020","#9e9ac8"
"33","East Africa and adjacent islands",1.18667542934418,"coastal_risk_esa2020_value_md5_f9f644","Coastal_Protection","2020","#9e9ac8"
"34","South Asia",1.62572276592255,"coastal_risk_esa2020_value_md5_f9f644","Coastal_Protection","2020","#9e9ac8"
"35","North America",1.30412709712982,"coastal_risk_esa2020_value_md5_f9f644","Coastal_Protection","2020","#9e9ac8"
"36","North-East Asia",1.79984498023987,"coastal_risk_esa2020_value_md5_f9f644","Coastal_Protection","2020","#9e9ac8"
"37","Caribbean",22.446418762207,"global_n_export_tnc_esa1992_compressed_md5_728edc","Nitrogen_Export","1992","#2c944c"
"38","Antarctica",NA,"global_n_export_tnc_esa1992_compressed_md5_728edc","Nitrogen_Export","1992","#2c944c"
"39","Oceania",13.1323251724243,"global_n_export_tnc_esa1992_compressed_md5_728edc","Nitrogen_Export","1992","#2c944c"
"40","Western Asia",64.9852981567383,"global_n_export_tnc_esa1992_compressed_md5_728edc","Nitrogen_Export","1992","#2c944c"
"41","South-East Asia",30.9654712677002,"global_n_export_tnc_esa1992_compressed_md5_728edc","Nitrogen_Export","1992","#2c944c"
"42","Mesoamerica",20.0670013427734,"global_n_export_tnc_esa1992_compressed_md5_728edc","Nitrogen_Export","1992","#2c944c"
"43","South America",12.0980129241943,"global_n_export_tnc_esa1992_compressed_md5_728edc","Nitrogen_Export","1992","#2c944c"
"44","Southern Africa",10.6174764633179,"global_n_export_tnc_esa1992_compressed_md5_728edc","Nitrogen_Export","1992","#2c944c"
"45","North Africa",14.695369720459,"global_n_export_tnc_esa1992_compressed_md5_728edc","Nitrogen_Export","1992","#2c944c"
"46","West Africa",12.4583292007446,"global_n_export_tnc_esa1992_compressed_md5_728edc","Nitrogen_Export","1992","#2c944c"
"47","Central and Western Europe",62.3684844970703,"global_n_export_tnc_esa1992_compressed_md5_728edc","Nitrogen_Export","1992","#2c944c"
"48","Central Africa",6.91822862625122,"global_n_export_tnc_esa1992_compressed_md5_728edc","Nitrogen_Export","1992","#2c944c"
"49","Eastern Europe",8.63005256652832,"global_n_export_tnc_esa1992_compressed_md5_728edc","Nitrogen_Export","1992","#2c944c"
"50","Central Asia",12.9551649093628,"global_n_export_tnc_esa1992_compressed_md5_728edc","Nitrogen_Export","1992","#2c944c"
"51","East Africa and adjacent islands",10.4759683609009,"global_n_export_tnc_esa1992_compressed_md5_728edc","Nitrogen_Export","1992","#2c944c"
"52","South Asia",55.3010215759277,"global_n_export_tnc_esa1992_compressed_md5_728edc","Nitrogen_Export","1992","#2c944c"
"53","North America",18.4922637939453,"global_n_export_tnc_esa1992_compressed_md5_728edc","Nitrogen_Export","1992","#2c944c"
"54","North-East Asia",60.581859588623,"global_n_export_tnc_esa1992_compressed_md5_728edc","Nitrogen_Export","1992","#2c944c"
"55","Caribbean",21.9839916229248,"global_n_export_tnc_esa2020_compressed_md5_1d3c17","Nitrogen_Export","2020","#2c944c"
"56","Antarctica",NA,"global_n_export_tnc_esa2020_compressed_md5_1d3c17","Nitrogen_Export","2020","#2c944c"
"57","Oceania",13.3266162872314,"global_n_export_tnc_esa2020_compressed_md5_1d3c17","Nitrogen_Export","2020","#2c944c"
"58","Western Asia",65.5184478759766,"global_n_export_tnc_esa2020_compressed_md5_1d3c17","Nitrogen_Export","2020","#2c944c"
"59","South-East Asia",32.4418067932129,"global_n_export_tnc_esa2020_compressed_md5_1d3c17","Nitrogen_Export","2020","#2c944c"
"60","Mesoamerica",21.227746963501,"global_n_export_tnc_esa2020_compressed_md5_1d3c17","Nitrogen_Export","2020","#2c944c"
"61","South America",12.3696327209473,"global_n_export_tnc_esa2020_compressed_md5_1d3c17","Nitrogen_Export","2020","#2c944c"
"62","Southern Africa",11.1383123397827,"global_n_export_tnc_esa2020_compressed_md5_1d3c17","Nitrogen_Export","2020","#2c944c"
"63","North Africa",16.2403316497803,"global_n_export_tnc_esa2020_compressed_md5_1d3c17","Nitrogen_Export","2020","#2c944c"
"64","West Africa",12.6120100021362,"global_n_export_tnc_esa2020_compressed_md5_1d3c17","Nitrogen_Export","2020","#2c944c"
"65","Central and Western Europe",62.1306457519531,"global_n_export_tnc_esa2020_compressed_md5_1d3c17","Nitrogen_Export","2020","#2c944c"
"66","Central Africa",6.98326778411865,"global_n_export_tnc_esa2020_compressed_md5_1d3c17","Nitrogen_Export","2020","#2c944c"
"67","Eastern Europe",8.63846302032471,"global_n_export_tnc_esa2020_compressed_md5_1d3c17","Nitrogen_Export","2020","#2c944c"
"68","Central Asia",13.0991725921631,"global_n_export_tnc_esa2020_compressed_md5_1d3c17","Nitrogen_Export","2020","#2c944c"
"69","East Africa and adjacent islands",10.2984380722046,"global_n_export_tnc_esa2020_compressed_md5_1d3c17","Nitrogen_Export","2020","#2c944c"
"70","South Asia",55.8169059753418,"global_n_export_tnc_esa2020_compressed_md5_1d3c17","Nitrogen_Export","2020","#2c944c"
"71","North America",18.6531867980957,"global_n_export_tnc_esa2020_compressed_md5_1d3c17","Nitrogen_Export","2020","#2c944c"
"72","North-East Asia",62.0566749572754,"global_n_export_tnc_esa2020_compressed_md5_1d3c17","Nitrogen_Export","2020","#2c944c"
"73","Caribbean",103.10285949707,"global_sed_export_marine_mod_ESA_1992_compressed_md5_18eaae","Sediment_Export","1992","#08306b"
"74","Antarctica",NA,"global_sed_export_marine_mod_ESA_1992_compressed_md5_18eaae","Sediment_Export","1992","#08306b"
"75","Oceania",15.4395799636841,"global_sed_export_marine_mod_ESA_1992_compressed_md5_18eaae","Sediment_Export","1992","#08306b"
"76","Western Asia",153.869338989258,"global_sed_export_marine_mod_ESA_1992_compressed_md5_18eaae","Sediment_Export","1992","#08306b"
"77","South-East Asia",186.572235107422,"global_sed_export_marine_mod_ESA_1992_compressed_md5_18eaae","Sediment_Export","1992","#08306b"
"78","Mesoamerica",43.5622673034668,"global_sed_export_marine_mod_ESA_1992_compressed_md5_18eaae","Sediment_Export","1992","#08306b"
"79","South America",56.1040153503418,"global_sed_export_marine_mod_ESA_1992_compressed_md5_18eaae","Sediment_Export","1992","#08306b"
"80","Southern Africa",20.2215843200684,"global_sed_export_marine_mod_ESA_1992_compressed_md5_18eaae","Sediment_Export","1992","#08306b"
"81","North Africa",33.5126152038574,"global_sed_export_marine_mod_ESA_1992_compressed_md5_18eaae","Sediment_Export","1992","#08306b"
"82","West Africa",30.7575435638428,"global_sed_export_marine_mod_ESA_1992_compressed_md5_18eaae","Sediment_Export","1992","#08306b"
"83","Central and Western Europe",41.2239265441895,"global_sed_export_marine_mod_ESA_1992_compressed_md5_18eaae","Sediment_Export","1992","#08306b"
"84","Central Africa",24.7402191162109,"global_sed_export_marine_mod_ESA_1992_compressed_md5_18eaae","Sediment_Export","1992","#08306b"
"85","Eastern Europe",6.83571577072144,"global_sed_export_marine_mod_ESA_1992_compressed_md5_18eaae","Sediment_Export","1992","#08306b"
"86","Central Asia",47.9364852905273,"global_sed_export_marine_mod_ESA_1992_compressed_md5_18eaae","Sediment_Export","1992","#08306b"
"87","East Africa and adjacent islands",106.243019104004,"global_sed_export_marine_mod_ESA_1992_compressed_md5_18eaae","Sediment_Export","1992","#08306b"
"88","South Asia",105.136184692383,"global_sed_export_marine_mod_ESA_1992_compressed_md5_18eaae","Sediment_Export","1992","#08306b"
"89","North America",11.9323616027832,"global_sed_export_marine_mod_ESA_1992_compressed_md5_18eaae","Sediment_Export","1992","#08306b"
"90","North-East Asia",115.710037231445,"global_sed_export_marine_mod_ESA_1992_compressed_md5_18eaae","Sediment_Export","1992","#08306b"
"91","Caribbean",101.81974029541,"global_sed_export_marine_mod_ESA_2020_compressed_md5_a988c0","Sediment_Export","2020","#08306b"
"92","Antarctica",NA,"global_sed_export_marine_mod_ESA_2020_compressed_md5_a988c0","Sediment_Export","2020","#08306b"
