"","WWF_biome","mean","raster_name","service","color","year"
"1","Temperate Grasslands, Savannas & Shrublands",3.2054402254289e-05,"diff_export","Pot. Sediment Retention","#08306b","diff"
"2","Tropical & Subtropical Moist Broadleaf Forests",0.00160817964933813,"diff_export","Pot. Sediment Retention","#08306b","diff"
"3","Temperate Conifer Forests",0.001086535747163,"diff_export","Pot. Sediment Retention","#08306b","diff"
"4","Tropical & Subtropical Coniferous Forests",0.00152390811126679,"diff_export","Pot. Sediment Retention","#08306b","diff"
"5","Rock & Ice",0.000775607360992581,"diff_export","Pot. Sediment Retention","#08306b","diff"
"6","Boreal Forests/Taiga",0.000618799589574337,"diff_export","Pot. Sediment Retention","#08306b","diff"
"7","Montane Grasslands & Shrublands",-0.000313634402118623,"diff_export","Pot. Sediment Retention","#08306b","diff"
"8","Lakes",0.0014623407041654,"diff_export","Pot. Sediment Retention","#08306b","diff"
"9","Flooded Grasslands & Savannas",0.000243054761085659,"diff_export","Pot. Sediment Retention","#08306b","diff"
"10","Mediterranean Forests, Woodlands & Scrub",-0.000292645912850276,"diff_export","Pot. Sediment Retention","#08306b","diff"
"11","Tropical & Subtropical Dry Broadleaf Forests",0.00109662360046059,"diff_export","Pot. Sediment Retention","#08306b","diff"
"12","Temperate Broadleaf & Mixed Forests",0.000458832160802558,"diff_export","Pot. Sediment Retention","#08306b","diff"
"13","Tundra",0.00227952003479004,"diff_export","Pot. Sediment Retention","#08306b","diff"
"14","Tropical & Subtropical Grasslands, Savannas & Shrublands",0.000471747334813699,"diff_export","Pot. Sediment Retention","#08306b","diff"
"15","Mangroves",4.3156418541912e-05,"diff_export","Pot. Sediment Retention","#08306b","diff"
"16","Deserts & Xeric Shrublands",-0.00132018979638815,"diff_export","Pot. Sediment Retention","#08306b","diff"
"17","Temperate Grasslands, Savannas & Shrublands",0.920700013637543,"global_usle_marine_mod_ESA_1992_compressed_md5_7e68e0","Pot. Sediment Retention","#08306b","1992"
"18","Tropical & Subtropical Moist Broadleaf Forests",0.957971811294556,"global_usle_marine_mod_ESA_1992_compressed_md5_7e68e0","Pot. Sediment Retention","#08306b","1992"
"19","Temperate Conifer Forests",0.944941222667694,"global_usle_marine_mod_ESA_1992_compressed_md5_7e68e0","Pot. Sediment Retention","#08306b","1992"
"20","Tropical & Subtropical Coniferous Forests",0.947989225387573,"global_usle_marine_mod_ESA_1992_compressed_md5_7e68e0","Pot. Sediment Retention","#08306b","1992"
"21","Rock & Ice",0.872797787189484,"global_usle_marine_mod_ESA_1992_compressed_md5_7e68e0","Pot. Sediment Retention","#08306b","1992"
"22","Boreal Forests/Taiga",0.979182362556458,"global_usle_marine_mod_ESA_1992_compressed_md5_7e68e0","Pot. Sediment Retention","#08306b","1992"
"23","Montane Grasslands & Shrublands",0.87766033411026,"global_usle_marine_mod_ESA_1992_compressed_md5_7e68e0","Pot. Sediment Retention","#08306b","1992"
"24","Lakes",0.970001876354218,"global_usle_marine_mod_ESA_1992_compressed_md5_7e68e0","Pot. Sediment Retention","#08306b","1992"
"25","Flooded Grasslands & Savannas",0.961816132068634,"global_usle_marine_mod_ESA_1992_compressed_md5_7e68e0","Pot. Sediment Retention","#08306b","1992"
"26","Mediterranean Forests, Woodlands & Scrub",0.897072732448578,"global_usle_marine_mod_ESA_1992_compressed_md5_7e68e0","Pot. Sediment Retention","#08306b","1992"
"27","Tropical & Subtropical Dry Broadleaf Forests",0.929105699062347,"global_usle_marine_mod_ESA_1992_compressed_md5_7e68e0","Pot. Sediment Retention","#08306b","1992"
"28","Temperate Broadleaf & Mixed Forests",0.935676217079163,"global_usle_marine_mod_ESA_1992_compressed_md5_7e68e0","Pot. Sediment Retention","#08306b","1992"
