,BIOME,mean,raster_name,service,color,year,WWF_biome
1,8,0.883789539,coastal_risk_esa1992_value_md5_3bd250,Coastal Protection,#9e9ac8,1992,"Temperate Grasslands, Savannas & Shrublands"
2,1,1.557669878,coastal_risk_esa1992_value_md5_3bd250,Coastal Protection,#9e9ac8,1992,Tropical & Subtropical Moist Broadleaf Forests
3,5,1.81716001,coastal_risk_esa1992_value_md5_3bd250,Coastal Protection,#9e9ac8,1992,Temperate Conifer Forests
4,3,1.363583326,coastal_risk_esa1992_value_md5_3bd250,Coastal Protection,#9e9ac8,1992,Tropical & Subtropical Coniferous Forests
5,99,0.321790308,coastal_risk_esa1992_value_md5_3bd250,Coastal Protection,#9e9ac8,1992,Rock & Ice
6,6,1.712614298,coastal_risk_esa1992_value_md5_3bd250,Coastal Protection,#9e9ac8,1992,Boreal Forests/Taiga
7,10,1.773887634,coastal_risk_esa1992_value_md5_3bd250,Coastal Protection,#9e9ac8,1992,Montane Grasslands & Shrublands
8,98,NA,coastal_risk_esa1992_value_md5_3bd250,Coastal Protection,#9e9ac8,1992,Lakes
9,9,1.240523219,coastal_risk_esa1992_value_md5_3bd250,Coastal Protection,#9e9ac8,1992,Flooded Grasslands & Savannas
10,12,1.480201483,coastal_risk_esa1992_value_md5_3bd250,Coastal Protection,#9e9ac8,1992,"Mediterranean Forests, Woodlands & Scrub"
11,2,1.357752085,coastal_risk_esa1992_value_md5_3bd250,Coastal Protection,#9e9ac8,1992,Tropical & Subtropical Dry Broadleaf Forests
12,4,1.762764573,coastal_risk_esa1992_value_md5_3bd250,Coastal Protection,#9e9ac8,1992,Temperate Broadleaf & Mixed Forests
13,11,0.733700216,coastal_risk_esa1992_value_md5_3bd250,Coastal Protection,#9e9ac8,1992,Tundra
14,7,1.212231994,coastal_risk_esa1992_value_md5_3bd250,Coastal Protection,#9e9ac8,1992,"Tropical & Subtropical Grasslands, Savannas & Shrublands"
15,14,1.847573638,coastal_risk_esa1992_value_md5_3bd250,Coastal Protection,#9e9ac8,1992,Mangroves
16,13,1.134392738,coastal_risk_esa1992_value_md5_3bd250,Coastal Protection,#9e9ac8,1992,Deserts & Xeric Shrublands
