<<<<<<< HEAD
"","extent","service","color","ee_r264_name","iso3","continent","region_wb","income_grp","name_long","metric","value"
"1",1,"Coastal Protection","#9e9ac8","Aruba","ABW","North America","Latin America & Caribbean","2. High income: nonOECD","Aruba","year_1992",1.17164134979248
"2",1,"Coastal Protection","#9e9ac8","Aruba","ABW","North America","Latin America & Caribbean","2. High income: nonOECD","Aruba","year_2020",1.45125913619995
"3",1,"Coastal Protection","#9e9ac8","Aruba","ABW","North America","Latin America & Caribbean","2. High income: nonOECD","Aruba","pct_change",23.8654761081107
"4",2,"Coastal Protection","#9e9ac8","Afghanistan","AFG","Asia","South Asia","5. Low income","Afghanistan","year_1992",NA
"5",2,"Coastal Protection","#9e9ac8","Afghanistan","AFG","Asia","South Asia","5. Low income","Afghanistan","year_2020",NA
"6",2,"Coastal Protection","#9e9ac8","Afghanistan","AFG","Asia","South Asia","5. Low income","Afghanistan","pct_change",NA
"7",3,"Coastal Protection","#9e9ac8","Angola","AGO","Africa","Sub-Saharan Africa","3. Upper middle income","Angola","year_1992",1.40121340751648
"8",3,"Coastal Protection","#9e9ac8","Angola","AGO","Africa","Sub-Saharan Africa","3. Upper middle income","Angola","year_2020",1.59612691402435
"9",3,"Coastal Protection","#9e9ac8","Angola","AGO","Africa","Sub-Saharan Africa","3. Upper middle income","Angola","pct_change",13.9103369595454
"10",4,"Coastal Protection","#9e9ac8","Anguilla","AIA","North America","Latin America & Caribbean","3. Upper middle income","Anguilla","year_1992",1.22667825222015
"11",4,"Coastal Protection","#9e9ac8","Anguilla","AIA","North America","Latin America & Caribbean","3. Upper middle income","Anguilla","year_2020",1.19681298732758
"12",4,"Coastal Protection","#9e9ac8","Anguilla","AIA","North America","Latin America & Caribbean","3. Upper middle income","Anguilla","pct_change",-2.4346453390298
"13",5,"Coastal Protection","#9e9ac8","Aland","FIN","Europe","Europe & Central Asia","1. High income: OECD","Finland","year_1992",2.22411179542542
"14",5,"Coastal Protection","#9e9ac8","Aland","FIN","Europe","Europe & Central Asia","1. High income: OECD","Finland","year_2020",1.98328900337219
"15",5,"Coastal Protection","#9e9ac8","Aland","FIN","Europe","Europe & Central Asia","1. High income: OECD","Finland","pct_change",-10.8278186621984
"16",6,"Coastal Protection","#9e9ac8","Albania","ALB","Europe","Europe & Central Asia","4. Lower middle income","Albania","year_1992",1.05913710594177
"17",6,"Coastal Protection","#9e9ac8","Albania","ALB","Europe","Europe & Central Asia","4. Lower middle income","Albania","year_2020",1.17444598674774
"18",6,"Coastal Protection","#9e9ac8","Albania","ALB","Europe","Europe & Central Asia","4. Lower middle income","Albania","pct_change",10.8870589236357
"19",7,"Coastal Protection","#9e9ac8","Andorra","AND","Europe","Europe & Central Asia","2. High income: nonOECD","Andorra","year_1992",NA
"20",7,"Coastal Protection","#9e9ac8","Andorra","AND","Europe","Europe & Central Asia","2. High income: nonOECD","Andorra","year_2020",NA
"21",7,"Coastal Protection","#9e9ac8","Andorra","AND","Europe","Europe & Central Asia","2. High income: nonOECD","Andorra","pct_change",NA
"22",8,"Coastal Protection","#9e9ac8","United Arab Emirates","ARE","Asia","Middle East & North Africa","2. High income: nonOECD","United Arab Emirates","year_1992",0.873207569122314
