"","id","mean","median","raster_name","service","color","year","ee_r264_name","iso3","continent","region_wb","income_grp","name_long"
"1",1,1.17164134979248,0.479678430363593,"coastal_risk_esa1992_value_md5_3bd250","Coastal Protection","#9e9ac8",1992,"Aruba","ABW","North America","Latin America & Caribbean","2. High income: nonOECD","Aruba"
"2",2,NA,NA,"coastal_risk_esa1992_value_md5_3bd250","Coastal Protection","#9e9ac8",1992,"Afghanistan","AFG","Asia","South Asia","5. Low income","Afghanistan"
"3",3,1.40121340751648,1.13306780549573,"coastal_risk_esa1992_value_md5_3bd250","Coastal Protection","#9e9ac8",1992,"Angola","AGO","Africa","Sub-Saharan Africa","3. Upper middle income","Angola"
"4",4,1.22667825222015,1.10703274436294,"coastal_risk_esa1992_value_md5_3bd250","Coastal Protection","#9e9ac8",1992,"Anguilla","AIA","North America","Latin America & Caribbean","3. Upper middle income","Anguilla"
"5",5,2.22411179542542,2.24800170453012,"coastal_risk_esa1992_value_md5_3bd250","Coastal Protection","#9e9ac8",1992,"Aland","FIN","Europe","Europe & Central Asia","1. High income: OECD","Finland"
"6",6,1.05913710594177,0.712230044689412,"coastal_risk_esa1992_value_md5_3bd250","Coastal Protection","#9e9ac8",1992,"Albania","ALB","Europe","Europe & Central Asia","4. Lower middle income","Albania"
"7",7,NA,NA,"coastal_risk_esa1992_value_md5_3bd250","Coastal Protection","#9e9ac8",1992,"Andorra","AND","Europe","Europe & Central Asia","2. High income: nonOECD","Andorra"
"8",8,0.873207569122314,0.715421111444868,"coastal_risk_esa1992_value_md5_3bd250","Coastal Protection","#9e9ac8",1992,"United Arab Emirates","ARE","Asia","Middle East & North Africa","2. High income: nonOECD","United Arab Emirates"
"9",9,1.21535181999207,0.863824375051108,"coastal_risk_esa1992_value_md5_3bd250","Coastal Protection","#9e9ac8",1992,"Argentina","ARG","South America","Latin America & Caribbean","3. Upper middle income","Argentina"
"10",10,NA,NA,"coastal_risk_esa1992_value_md5_3bd250","Coastal Protection","#9e9ac8",1992,"Armenia","ARM","Asia","Europe & Central Asia","4. Lower middle income","Armenia"
"11",11,1.01925313472748,1.00508532711189,"coastal_risk_esa1992_value_md5_3bd250","Coastal Protection","#9e9ac8",1992,"American Samoa","ASM","Oceania","East Asia & Pacific","3. Upper middle income","American Samoa"
"12",12,NA,NA,"coastal_risk_esa1992_value_md5_3bd250","Coastal Protection","#9e9ac8",1992,"Antarctica","ATA","Antarctica","Antarctica","2. High income: nonOECD","Antarctica"
"13",13,0.742113888263702,0.114184046069316,"coastal_risk_esa1992_value_md5_3bd250","Coastal Protection","#9e9ac8",1992,"French Southern Territories","ATF","Seven seas (open ocean)","Sub-Saharan Africa","2. High income: nonOECD","French Southern and Antarctic Lands"
"14",14,0.993269920349121,0.991080631864241,"coastal_risk_esa1992_value_md5_3bd250","Coastal Protection","#9e9ac8",1992,"Antigua and Barbuda","ATG","North America","Latin America & Caribbean","3. Upper middle income","Antigua and Barbuda"
"15",15,1.32767486572266,1.31906114844909,"coastal_risk_esa1992_value_md5_3bd250","Coastal Protection","#9e9ac8",1992,"Australia","AUS","Oceania","East Asia & Pacific","1. High income: OECD","Australia"
"16",16,NA,NA,"coastal_risk_esa1992_value_md5_3bd250","Coastal Protection","#9e9ac8",1992,"Austria","AUT","Europe","Europe & Central Asia","1. High income: OECD","Austria"
"17",17,NA,NA,"coastal_risk_esa1992_value_md5_3bd250","Coastal Protection","#9e9ac8",1992,"Azerbaijan","AZE","Asia","Europe & Central Asia","3. Upper middle income","Azerbaijan"
"18",18,NA,NA,"coastal_risk_esa1992_value_md5_3bd250","Coastal Protection","#9e9ac8",1992,"Burundi","BDI","Africa","Sub-Saharan Africa","5. Low income","Burundi"
"19",19,0.726180970668793,0.58565392281432,"coastal_risk_esa1992_value_md5_3bd250","Coastal Protection","#9e9ac8",1992,"Belgium","BEL","Europe","Europe & Central Asia","1. High income: OECD","Belgium"
"20",20,0.190318509936333,0.141281571652241,"coastal_risk_esa1992_value_md5_3bd250","Coastal Protection","#9e9ac8",1992,"Benin","BEN","Africa","Sub-Saharan Africa","5. Low income","Benin"
"21",21,0.968588709831238,0.834888758640645,"coastal_risk_esa1992_value_md5_3bd250","Coastal Protection","#9e9ac8",1992,"Bonaire, Sint Eustatius and Saba","BES","Seven seas (open ocean)","Latin America & Caribbean","2. High income: nonOECD","Bonaire, Sint Eustatius and Saba"
"22",22,NA,NA,"coastal_risk_esa1992_value_md5_3bd250","Coastal Protection","#9e9ac8",1992,"Burkina Faso","BFA","Africa","Sub-Saharan Africa","5. Low income","Burkina Faso"
"23",23,1.79685795307159,1.79113360686585,"coastal_risk_esa1992_value_md5_3bd250","Coastal Protection","#9e9ac8",1992,"Bangladesh","BGD","Asia","South Asia","5. Low income","Bangladesh"
"24",24,1.539475440979,1.69250595799103,"coastal_risk_esa1992_value_md5_3bd250","Coastal Protection","#9e9ac8",1992,"Bulgaria","BGR","Europe","Europe & Central Asia","3. Upper middle income","Bulgaria"
"25",25,0.710049569606781,0.0307790445382485,"coastal_risk_esa1992_value_md5_3bd250","Coastal Protection","#9e9ac8",1992,"Bahrain","BHR","Asia","Middle East & North Africa","2. High income: nonOECD","Bahrain"
"26",26,1.32927370071411,1.2076768472564,"coastal_risk_esa1992_value_md5_3bd250","Coastal Protection","#9e9ac8",1992,"Bahamas","BHS","North America","Latin America & Caribbean","2. High income: nonOECD","Bahamas"
"27",27,1.89276564121246,1.72478818703679,"coastal_risk_esa1992_value_md5_3bd250","Coastal Protection","#9e9ac8",1992,"Bosnia and Herzegovina","BIH","Europe","Europe & Central Asia","3. Upper middle income","Bosnia and Herzegovina"
"28",28,2.66632342338562,2.8147163955459,"coastal_risk_esa1992_value_md5_3bd250","Coastal Protection","#9e9ac8",1992,"Saint Barthelemy","BLM","North America","Latin America & Caribbean","1. High income: OECD","Saint-Barth̩lemy"
"29",29,NA,NA,"coastal_risk_esa1992_value_md5_3bd250","Coastal Protection","#9e9ac8",1992,"Belarus","BLR","Europe","Europe & Central Asia","3. Upper middle income","Belarus"
