"","region_wb","mean","raster_name","service","year","color"
"1","Latin America & Caribbean",1.83577966690063,"coastal_risk_esa1992_value_md5_3bd250","Coastal_Protection","1992","#9e9ac8"
"2","South Asia",1.61877918243408,"coastal_risk_esa1992_value_md5_3bd250","Coastal_Protection","1992","#9e9ac8"
"3","Sub-Saharan Africa",1.45378518104553,"coastal_risk_esa1992_value_md5_3bd250","Coastal_Protection","1992","#9e9ac8"
"4","Europe & Central Asia",1.15816593170166,"coastal_risk_esa1992_value_md5_3bd250","Coastal_Protection","1992","#9e9ac8"
"5","Middle East & North Africa",1.46394979953766,"coastal_risk_esa1992_value_md5_3bd250","Coastal_Protection","1992","#9e9ac8"
"6","East Asia & Pacific",1.57091438770294,"coastal_risk_esa1992_value_md5_3bd250","Coastal_Protection","1992","#9e9ac8"
"7","Antarctica",0.143120557069778,"coastal_risk_esa1992_value_md5_3bd250","Coastal_Protection","1992","#9e9ac8"
"8","North America",1.44610583782196,"coastal_risk_esa1992_value_md5_3bd250","Coastal_Protection","1992","#9e9ac8"
"9","Latin America & Caribbean",1.81227719783783,"coastal_risk_esa2020_value_md5_f9f644","Coastal_Protection","2020","#9e9ac8"
"10","South Asia",1.622065782547,"coastal_risk_esa2020_value_md5_f9f644","Coastal_Protection","2020","#9e9ac8"
"11","Sub-Saharan Africa",1.46130335330963,"coastal_risk_esa2020_value_md5_f9f644","Coastal_Protection","2020","#9e9ac8"
"12","Europe & Central Asia",1.15006339550018,"coastal_risk_esa2020_value_md5_f9f644","Coastal_Protection","2020","#9e9ac8"
"13","Middle East & North Africa",1.49280178546906,"coastal_risk_esa2020_value_md5_f9f644","Coastal_Protection","2020","#9e9ac8"
"14","East Asia & Pacific",1.56603741645813,"coastal_risk_esa2020_value_md5_f9f644","Coastal_Protection","2020","#9e9ac8"
"15","Antarctica",0.143120557069778,"coastal_risk_esa2020_value_md5_f9f644","Coastal_Protection","2020","#9e9ac8"
"16","North America",1.44174456596375,"coastal_risk_esa2020_value_md5_f9f644","Coastal_Protection","2020","#9e9ac8"
"17","Latin America & Caribbean",13.1957769393921,"global_n_export_tnc_esa1992_compressed_md5_728edc","Nitrogen_Export","1992","#2c944c"
"18","South Asia",57.6978607177734,"global_n_export_tnc_esa1992_compressed_md5_728edc","Nitrogen_Export","1992","#2c944c"
"19","Sub-Saharan Africa",9.83073806762695,"global_n_export_tnc_esa1992_compressed_md5_728edc","Nitrogen_Export","1992","#2c944c"
"20","Europe & Central Asia",23.076488494873,"global_n_export_tnc_esa1992_compressed_md5_728edc","Nitrogen_Export","1992","#2c944c"
"21","Middle East & North Africa",43.8323097229004,"global_n_export_tnc_esa1992_compressed_md5_728edc","Nitrogen_Export","1992","#2c944c"
"22","East Asia & Pacific",39.0736999511719,"global_n_export_tnc_esa1992_compressed_md5_728edc","Nitrogen_Export","1992","#2c944c"
"23","Antarctica",NA,"global_n_export_tnc_esa1992_compressed_md5_728edc","Nitrogen_Export","1992","#2c944c"
"24","North America",18.4919815063477,"global_n_export_tnc_esa1992_compressed_md5_728edc","Nitrogen_Export","1992","#2c944c"
"25","Latin America & Caribbean",13.5702037811279,"global_n_export_tnc_esa2020_compressed_md5_1d3c17","Nitrogen_Export","2020","#2c944c"
"26","South Asia",57.6321678161621,"global_n_export_tnc_esa2020_compressed_md5_1d3c17","Nitrogen_Export","2020","#2c944c"
"27","Sub-Saharan Africa",9.99215698242188,"global_n_export_tnc_esa2020_compressed_md5_1d3c17","Nitrogen_Export","2020","#2c944c"
"28","Europe & Central Asia",23.0495910644531,"global_n_export_tnc_esa2020_compressed_md5_1d3c17","Nitrogen_Export","2020","#2c944c"
"29","Middle East & North Africa",46.4671630859375,"global_n_export_tnc_esa2020_compressed_md5_1d3c17","Nitrogen_Export","2020","#2c944c"
"30","East Asia & Pacific",40.0975303649902,"global_n_export_tnc_esa2020_compressed_md5_1d3c17","Nitrogen_Export","2020","#2c944c"
"31","Antarctica",NA,"global_n_export_tnc_esa2020_compressed_md5_1d3c17","Nitrogen_Export","2020","#2c944c"
"32","North America",18.6529846191406,"global_n_export_tnc_esa2020_compressed_md5_1d3c17","Nitrogen_Export","2020","#2c944c"
"33","Latin America & Caribbean",55.2080535888672,"global_sed_export_marine_mod_ESA_1992_compressed_md5_18eaae","Sediment_Export","1992","#08306b"
"34","South Asia",109.558799743652,"global_sed_export_marine_mod_ESA_1992_compressed_md5_18eaae","Sediment_Export","1992","#08306b"
"35","Sub-Saharan Africa",42.1636543273926,"global_sed_export_marine_mod_ESA_1992_compressed_md5_18eaae","Sediment_Export","1992","#08306b"
"36","Europe & Central Asia",23.4069271087646,"global_sed_export_marine_mod_ESA_1992_compressed_md5_18eaae","Sediment_Export","1992","#08306b"
"37","Middle East & North Africa",98.3349380493164,"global_sed_export_marine_mod_ESA_1992_compressed_md5_18eaae","Sediment_Export","1992","#08306b"
"38","East Asia & Pacific",90.9840316772461,"global_sed_export_marine_mod_ESA_1992_compressed_md5_18eaae","Sediment_Export","1992","#08306b"
"39","Antarctica",NA,"global_sed_export_marine_mod_ESA_1992_compressed_md5_18eaae","Sediment_Export","1992","#08306b"
"40","North America",11.9324264526367,"global_sed_export_marine_mod_ESA_1992_compressed_md5_18eaae","Sediment_Export","1992","#08306b"
"41","Latin America & Caribbean",54.4639663696289,"global_sed_export_marine_mod_ESA_2020_compressed_md5_a988c0","Sediment_Export","2020","#08306b"
"42","South Asia",106.311317443848,"global_sed_export_marine_mod_ESA_2020_compressed_md5_a988c0","Sediment_Export","2020","#08306b"
"43","Sub-Saharan Africa",42.760368347168,"global_sed_export_marine_mod_ESA_2020_compressed_md5_a988c0","Sediment_Export","2020","#08306b"
"44","Europe & Central Asia",23.6326961517334,"global_sed_export_marine_mod_ESA_2020_compressed_md5_a988c0","Sediment_Export","2020","#08306b"
"45","Middle East & North Africa",98.3504028320312,"global_sed_export_marine_mod_ESA_2020_compressed_md5_a988c0","Sediment_Export","2020","#08306b"
"46","East Asia & Pacific",94.641227722168,"global_sed_export_marine_mod_ESA_2020_compressed_md5_a988c0","Sediment_Export","2020","#08306b"
"47","Antarctica",NA,"global_sed_export_marine_mod_ESA_2020_compressed_md5_a988c0","Sediment_Export","2020","#08306b"
"48","North America",12.3740940093994,"global_sed_export_marine_mod_ESA_2020_compressed_md5_a988c0","Sediment_Export","2020","#08306b"
"49","Latin America & Caribbean",390.35400390625,"global_usle_marine_mod_ESA_1992_compressed_md5_7e68e0","Usle","1992","#17c0ff"
"50","South Asia",714.524597167969,"global_usle_marine_mod_ESA_1992_compressed_md5_7e68e0","Usle","1992","#17c0ff"
"51","Sub-Saharan Africa",332.157165527344,"global_usle_marine_mod_ESA_1992_compressed_md5_7e68e0","Usle","1992","#17c0ff"
"52","Europe & Central Asia",147.143707275391,"global_usle_marine_mod_ESA_1992_compressed_md5_7e68e0","Usle","1992","#17c0ff"
"53","Middle East & North Africa",437.598571777344,"global_usle_marine_mod_ESA_1992_compressed_md5_7e68e0","Usle","1992","#17c0ff"
"54","East Asia & Pacific",639.553283691406,"global_usle_marine_mod_ESA_1992_compressed_md5_7e68e0","Usle","1992","#17c0ff"
"55","Antarctica",NA,"global_usle_marine_mod_ESA_1992_compressed_md5_7e68e0","Usle","1992","#17c0ff"
"56","North America",113.972923278809,"global_usle_marine_mod_ESA_1992_compressed_md5_7e68e0","Usle","1992","#17c0ff"
"57","Latin America & Caribbean",389.599243164062,"global_usle_marine_mod_ESA_2020_compressed_md5_99e715","Usle","2020","#17c0ff"
"58","South Asia",688.634948730469,"global_usle_marine_mod_ESA_2020_compressed_md5_99e715","Usle","2020","#17c0ff"
"59","Sub-Saharan Africa",336.105285644531,"global_usle_marine_mod_ESA_2020_compressed_md5_99e715","Usle","2020","#17c0ff"
"60","Europe & Central Asia",149.351669311523,"global_usle_marine_mod_ESA_2020_compressed_md5_99e715","Usle","2020","#17c0ff"
"61","Middle East & North Africa",437.825927734375,"global_usle_marine_mod_ESA_2020_compressed_md5_99e715","Usle","2020","#17c0ff"
"62","East Asia & Pacific",647.6318359375,"global_usle_marine_mod_ESA_2020_compressed_md5_99e715","Usle","2020","#17c0ff"
"63","Antarctica",NA,"global_usle_marine_mod_ESA_2020_compressed_md5_99e715","Usle","2020","#17c0ff"
"64","North America",117.692993164062,"global_usle_marine_mod_ESA_2020_compressed_md5_99e715","Usle","2020","#17c0ff"
"65","Latin America & Caribbean",27497.078125,"nature_access_lspop2019_ESA1992_md5_b32b8b","Nature_Access","1992","#A57C00"
"66","South Asia",42801.32421875,"nature_access_lspop2019_ESA1992_md5_b32b8b","Nature_Access","1992","#A57C00"
"67","Sub-Saharan Africa",16688.337890625,"nature_access_lspop2019_ESA1992_md5_b32b8b","Nature_Access","1992","#A57C00"
"68","Europe & Central Asia",44516.33984375,"nature_access_lspop2019_ESA1992_md5_b32b8b","Nature_Access","1992","#A57C00"
"69","Middle East & North Africa",7710.42822265625,"nature_access_lspop2019_ESA1992_md5_b32b8b","Nature_Access","1992","#A57C00"
"70","East Asia & Pacific",27267.849609375,"nature_access_lspop2019_ESA1992_md5_b32b8b","Nature_Access","1992","#A57C00"
"71","Antarctica",0,"nature_access_lspop2019_ESA1992_md5_b32b8b","Nature_Access","1992","#A57C00"
"72","North America",53572.046875,"nature_access_lspop2019_ESA1992_md5_b32b8b","Nature_Access","1992","#A57C00"
"73","Latin America & Caribbean",53755.1640625,"nature_access_lspop2019_ESA2020ag_compressed_md5_6496bd","Nature_Access","2020","#A57C00"
"74","South Asia",162714.71875,"nature_access_lspop2019_ESA2020ag_compressed_md5_6496bd","Nature_Access","2020","#A57C00"
"75","Sub-Saharan Africa",33430.671875,"nature_access_lspop2019_ESA2020ag_compressed_md5_6496bd","Nature_Access","2020","#A57C00"
"76","Europe & Central Asia",157268.234375,"nature_access_lspop2019_ESA2020ag_compressed_md5_6496bd","Nature_Access","2020","#A57C00"
