"","subregion","mean","raster_name","service","year","color"
"1","Seven seas (open ocean)",1.56947016716003,"coastal_risk_esa1992_value_md5_3bd250","Coastal_Protection",1992,"#9e9ac8"
"2","Antarctica",NA,"coastal_risk_esa1992_value_md5_3bd250","Coastal_Protection",1992,"#9e9ac8"
"3","Northern Africa",1.47545611858368,"coastal_risk_esa1992_value_md5_3bd250","Coastal_Protection",1992,"#9e9ac8"
"4","Central Asia",NA,"coastal_risk_esa1992_value_md5_3bd250","Coastal_Protection",1992,"#9e9ac8"
"5","Eastern Asia",1.7753529548645,"coastal_risk_esa1992_value_md5_3bd250","Coastal_Protection",1992,"#9e9ac8"
"6","Melanesia",1.44217383861542,"coastal_risk_esa1992_value_md5_3bd250","Coastal_Protection",1992,"#9e9ac8"
"7","Middle Africa",1.91397500038147,"coastal_risk_esa1992_value_md5_3bd250","Coastal_Protection",1992,"#9e9ac8"
"8","South-Eastern Asia",1.57305669784546,"coastal_risk_esa1992_value_md5_3bd250","Coastal_Protection",1992,"#9e9ac8"
"9","Southern Europe",1.56291091442108,"coastal_risk_esa1992_value_md5_3bd250","Coastal_Protection",1992,"#9e9ac8"
"10","Western Africa",1.65983831882477,"coastal_risk_esa1992_value_md5_3bd250","Coastal_Protection",1992,"#9e9ac8"
"11","Eastern Europe",1.11670994758606,"coastal_risk_esa1992_value_md5_3bd250","Coastal_Protection",1992,"#9e9ac8"
"12","Southern Asia",1.59525632858276,"coastal_risk_esa1992_value_md5_3bd250","Coastal_Protection",1992,"#9e9ac8"
"13","Southern Africa",1.21088063716888,"coastal_risk_esa1992_value_md5_3bd250","Coastal_Protection",1992,"#9e9ac8"
"14","Caribbean",1.31112539768219,"coastal_risk_esa1992_value_md5_3bd250","Coastal_Protection",1992,"#9e9ac8"
"15","Northern Europe",1.38989448547363,"coastal_risk_esa1992_value_md5_3bd250","Coastal_Protection",1992,"#9e9ac8"
"16","Polynesia",2.59601807594299,"coastal_risk_esa1992_value_md5_3bd250","Coastal_Protection",1992,"#9e9ac8"
"17","Micronesia",2.7927622795105,"coastal_risk_esa1992_value_md5_3bd250","Coastal_Protection",1992,"#9e9ac8"
"18","Australia and New Zealand",1.44312405586243,"coastal_risk_esa1992_value_md5_3bd250","Coastal_Protection",1992,"#9e9ac8"
"19","Eastern Africa",1.19266080856323,"coastal_risk_esa1992_value_md5_3bd250","Coastal_Protection",1992,"#9e9ac8"
"20","Northern America",1.28545296192169,"coastal_risk_esa1992_value_md5_3bd250","Coastal_Protection",1992,"#9e9ac8"
"21","Central America",1.66060304641724,"coastal_risk_esa1992_value_md5_3bd250","Coastal_Protection",1992,"#9e9ac8"
"22","Western Asia",1.72298228740692,"coastal_risk_esa1992_value_md5_3bd250","Coastal_Protection",1992,"#9e9ac8"
"23","Western Europe",1.27187645435333,"coastal_risk_esa1992_value_md5_3bd250","Coastal_Protection",1992,"#9e9ac8"
"24","South America",1.975252866745,"coastal_risk_esa1992_value_md5_3bd250","Coastal_Protection",1992,"#9e9ac8"
"25","Seven seas (open ocean)",1.56947016716003,"coastal_risk_esa2020_value_md5_f9f644","Coastal_Protection",2020,"#9e9ac8"
"26","Antarctica",NA,"coastal_risk_esa2020_value_md5_f9f644","Coastal_Protection",2020,"#9e9ac8"
"27","Northern Africa",1.51272296905518,"coastal_risk_esa2020_value_md5_f9f644","Coastal_Protection",2020,"#9e9ac8"
"28","Central Asia",NA,"coastal_risk_esa2020_value_md5_f9f644","Coastal_Protection",2020,"#9e9ac8"
"29","Eastern Asia",1.77828478813171,"coastal_risk_esa2020_value_md5_f9f644","Coastal_Protection",2020,"#9e9ac8"
"30","Melanesia",1.45443475246429,"coastal_risk_esa2020_value_md5_f9f644","Coastal_Protection",2020,"#9e9ac8"
"31","Middle Africa",1.98904824256897,"coastal_risk_esa2020_value_md5_f9f644","Coastal_Protection",2020,"#9e9ac8"
"32","South-Eastern Asia",1.56880688667297,"coastal_risk_esa2020_value_md5_f9f644","Coastal_Protection",2020,"#9e9ac8"
"33","Southern Europe",1.58170819282532,"coastal_risk_esa2020_value_md5_f9f644","Coastal_Protection",2020,"#9e9ac8"
"34","Western Africa",1.64971911907196,"coastal_risk_esa2020_value_md5_f9f644","Coastal_Protection",2020,"#9e9ac8"
"35","Eastern Europe",1.09587025642395,"coastal_risk_esa2020_value_md5_f9f644","Coastal_Protection",2020,"#9e9ac8"
"36","Southern Asia",1.60016763210297,"coastal_risk_esa2020_value_md5_f9f644","Coastal_Protection",2020,"#9e9ac8"
"37","Southern Africa",1.25890231132507,"coastal_risk_esa2020_value_md5_f9f644","Coastal_Protection",2020,"#9e9ac8"
