"","region_wb","mean","median","raster_name","service","color","year","id"
"1","Latin America & Caribbean",1.83577966690063,1.84552149991108,"coastal_risk_esa1992_value_md5_3bd250","Coastal Protection","#9e9ac8",1992,NA
"2","South Asia",1.61877918243408,1.51498505568813,"coastal_risk_esa1992_value_md5_3bd250","Coastal Protection","#9e9ac8",1992,NA
"3","Sub-Saharan Africa",1.45378518104553,1.42198281257799,"coastal_risk_esa1992_value_md5_3bd250","Coastal Protection","#9e9ac8",1992,NA
"4","Europe & Central Asia",1.15816593170166,0.869459400020526,"coastal_risk_esa1992_value_md5_3bd250","Coastal Protection","#9e9ac8",1992,NA
"5","Middle East & North Africa",1.46394979953766,1.4586875515443,"coastal_risk_esa1992_value_md5_3bd250","Coastal Protection","#9e9ac8",1992,NA
"6","East Asia & Pacific",1.57091438770294,1.42159882752048,"coastal_risk_esa1992_value_md5_3bd250","Coastal Protection","#9e9ac8",1992,NA
"7","Antarctica",0.143120557069778,0.17320098120331,"coastal_risk_esa1992_value_md5_3bd250","Coastal Protection","#9e9ac8",1992,NA
"8","North America",1.44610583782196,1.41968041043999,"coastal_risk_esa1992_value_md5_3bd250","Coastal Protection","#9e9ac8",1992,NA
"9","Latin America & Caribbean",1.81227719783783,1.81870355647597,"coastal_risk_esa2020_value_md5_f9f644","Coastal Protection","#9e9ac8",2020,NA
"10","South Asia",1.622065782547,1.51553865994087,"coastal_risk_esa2020_value_md5_f9f644","Coastal Protection","#9e9ac8",2020,NA
"11","Sub-Saharan Africa",1.46130335330963,1.42705394856663,"coastal_risk_esa2020_value_md5_f9f644","Coastal Protection","#9e9ac8",2020,NA
"12","Europe & Central Asia",1.15006339550018,0.863453229593199,"coastal_risk_esa2020_value_md5_f9f644","Coastal Protection","#9e9ac8",2020,NA
"13","Middle East & North Africa",1.49280178546906,1.50483995484136,"coastal_risk_esa2020_value_md5_f9f644","Coastal Protection","#9e9ac8",2020,NA
"14","East Asia & Pacific",1.56603741645813,1.41193484676538,"coastal_risk_esa2020_value_md5_f9f644","Coastal Protection","#9e9ac8",2020,NA
"15","Antarctica",0.143120557069778,0.17320098120331,"coastal_risk_esa2020_value_md5_f9f644","Coastal Protection","#9e9ac8",2020,NA
"16","North America",1.44174456596375,1.41638275198424,"coastal_risk_esa2020_value_md5_f9f644","Coastal Protection","#9e9ac8",2020,NA
"17","Latin America & Caribbean",13.1957769393921,4.45983548033967,"global_n_export_tnc_esa1992_compressed_md5_728edc","Nitrogen Export","#2c944c",1992,NA
"18","South Asia",57.6978607177734,20.5434133530316,"global_n_export_tnc_esa1992_compressed_md5_728edc","Nitrogen Export","#2c944c",1992,NA
"19","Sub-Saharan Africa",9.83073806762695,6.31702405988402,"global_n_export_tnc_esa1992_compressed_md5_728edc","Nitrogen Export","#2c944c",1992,NA
"20","Europe & Central Asia",23.076488494873,4.58880829993605,"global_n_export_tnc_esa1992_compressed_md5_728edc","Nitrogen Export","#2c944c",1992,NA
"21","Middle East & North Africa",43.8323097229004,9.12113537610536,"global_n_export_tnc_esa1992_compressed_md5_728edc","Nitrogen Export","#2c944c",1992,NA
"22","East Asia & Pacific",39.0736999511719,8.31611608433803,"global_n_export_tnc_esa1992_compressed_md5_728edc","Nitrogen Export","#2c944c",1992,NA
