service,income_grp,hdi_bin,gdp_bin,gini_bin,exposed_population,hotspot_cells
C_Risk,High income,Medium (0.550-0.700),Q2,Q4 (Highest Gini),78.45072937663645,1
C_Risk,High income,High (0.700-0.800),Q1 (Lowest GDP),Q1 (Lowest Gini),18.18694259678773,12
C_Risk,High income,High (0.700-0.800),Q1 (Lowest GDP),Q2,3.1203470547760452,6
C_Risk,High income,High (0.700-0.800),Q1 (Lowest GDP),Q3,4.529840487965861,3
C_Risk,High income,High (0.700-0.800),Q2,Q1 (Lowest Gini),1125.051182071434,20
C_Risk,High income,High (0.700-0.800),Q2,Q2,293.45040181826715,7
C_Risk,High income,High (0.700-0.800),Q2,Q3,51.858999969896146,2
C_Risk,High income,High (0.700-0.800),Q3,Q1 (Lowest Gini),8556.529801387647,18
C_Risk,High income,High (0.700-0.800),Q3,Q2,1756.5230166903318,4
C_Risk,High income,High (0.700-0.800),Q3,Q3,889.8253489774484,2
C_Risk,High income,High (0.700-0.800),Q3,NA,611.0631871645435,1
C_Risk,High income,High (0.700-0.800),Q4 (Highest GDP),Q1 (Lowest Gini),12497.281712397951,4
C_Risk,High income,High (0.700-0.800),Q4 (Highest GDP),Q2,805209.38437448,4
C_Risk,High income,Very High (>0.800),Q1 (Lowest GDP),Q1 (Lowest Gini),143.178064803137,61
C_Risk,High income,Very High (>0.800),Q1 (Lowest GDP),Q2,6.146707837304217,13
C_Risk,High income,Very High (>0.800),Q1 (Lowest GDP),Q3,11.713956319790064,11
C_Risk,High income,Very High (>0.800),Q2,Q1 (Lowest Gini),4744.27852777443,102
C_Risk,High income,Very High (>0.800),Q2,Q2,458.0903845947878,13
C_Risk,High income,Very High (>0.800),Q2,Q3,280.5988561531375,7
C_Risk,High income,Very High (>0.800),Q3,Q1 (Lowest Gini),93549.888515705,217
C_Risk,High income,Very High (>0.800),Q3,Q2,36596.42380741016,47
C_Risk,High income,Very High (>0.800),Q3,Q3,6944.248272226645,20
C_Risk,High income,Very High (>0.800),Q4 (Highest GDP),Q1 (Lowest Gini),40113736.083414674,820
C_Risk,High income,Very High (>0.800),Q4 (Highest GDP),Q2,23272709.505368773,356
C_Risk,High income,Very High (>0.800),Q4 (Highest GDP),Q3,5387305.765649377,116
C_Risk,High income,Very High (>0.800),Q4 (Highest GDP),NA,104696.98875977793,1
C_Risk,Low income,Low (<0.550),Q1 (Lowest GDP),Q2,614.0976011045773,5
C_Risk,Low income,Low (<0.550),Q1 (Lowest GDP),Q3,95.19306622205056,1
C_Risk,Low income,Low (<0.550),Q2,Q1 (Lowest Gini),18604.222154361392,8
C_Risk,Low income,Low (<0.550),Q2,Q2,21954.26395237678,13
C_Risk,Low income,Low (<0.550),Q2,Q3,30880.520489308445,19
C_Risk,Low income,Low (<0.550),Q2,Q4 (Highest Gini),3117.618434701465,2
C_Risk,Low income,Low (<0.550),Q3,Q1 (Lowest Gini),154424.97097423338,20
C_Risk,Low income,Low (<0.550),Q3,Q2,99625.42022768607,18
C_Risk,Low income,Low (<0.550),Q3,Q3,136676.7960462488,15
C_Risk,Low income,Low (<0.550),Q3,Q4 (Highest Gini),103264.87503597184,7
C_Risk,Low income,Low (<0.550),Q4 (Highest GDP),Q1 (Lowest Gini),720849.7823230951,6
C_Risk,Low income,Low (<0.550),Q4 (Highest GDP),Q2,1459162.3925395343,14
C_Risk,Low income,Low (<0.550),Q4 (Highest GDP),Q3,940060.8521148738,5
C_Risk,Low income,Low (<0.550),Q4 (Highest GDP),Q4 (Highest Gini),166716.7210802191,5
C_Risk,Low income,Medium (0.550-0.700),Q2,Q1 (Lowest Gini),756.3782534839946,1
C_Risk,Low income,Medium (0.550-0.700),Q2,Q2,8878.713996872688,3
C_Risk,Low income,Medium (0.550-0.700),Q2,Q3,734.4692710171149,1
C_Risk,Low income,Medium (0.550-0.700),Q3,Q1 (Lowest Gini),51688.48037437079,6
C_Risk,Low income,Medium (0.550-0.700),Q3,Q2,53882.252452137494,4
C_Risk,Low income,Medium (0.550-0.700),Q3,Q3,33068.80317163837,4
C_Risk,Low income,Medium (0.550-0.700),Q4 (Highest GDP),Q1 (Lowest Gini),3898316.314428134,29
C_Risk,Low income,Medium (0.550-0.700),Q4 (Highest GDP),Q2,895996.4797370869,4
C_Risk,Low income,Medium (0.550-0.700),Q4 (Highest GDP),Q3,2677322.635373422,10
C_Risk,Low income,Medium (0.550-0.700),Q4 (Highest GDP),Q4 (Highest Gini),894618.7461291148,5
C_Risk,Low income,High (0.700-0.800),Q2,Q3,2513.4148619145635,1
C_Risk,Low income,High (0.700-0.800),Q3,Q2,8431.422768990096,2
C_Risk,Low income,High (0.700-0.800),Q4 (Highest GDP),Q1 (Lowest Gini),4170952.6416230923,4
C_Risk,Low income,High (0.700-0.800),Q4 (Highest GDP),Q2,251916.60379518286,3
C_Risk,Low income,High (0.700-0.800),Q4 (Highest GDP),Q3,667782.7790266505,1
C_Risk,Lower middle income,Low (<0.550),Q1 (Lowest GDP),Q1 (Lowest Gini),45.07551805675028,2
C_Risk,Lower middle income,Low (<0.550),Q1 (Lowest GDP),Q2,65.40090174794409,1
C_Risk,Lower middle income,Low (<0.550),Q1 (Lowest GDP),Q3,682.0427635354672,9
C_Risk,Lower middle income,Low (<0.550),Q1 (Lowest GDP),Q4 (Highest Gini),5.402156919750913,6
C_Risk,Lower middle income,Low (<0.550),Q2,Q2,1867.811071122419,4
