service,var,D,p_value,p_perm,n_hot,n_non,mean_hot,mean_non,median_hot,median_non,q10_hot,q90_hot,q10_non,q90_non,median_delta,mean_delta,auc,cliffs_delta,p_hot_greater,p_hot_less,p_adj,p_hot_greater_adj,p_hot_less_adj
Pollination,GHS_POP_E2020_GLOBE_sum,0.5443816295605547,0,NA,68632,68632,4571.658877845916,1729.2001144665178,377.5136380633358,0,0.7901491924270712,8919.485966616074,0,607.1247233600694,377.5136380633358,2842.4587633793985,0.8207165750527237,0.6414331501054473,0.9985440147007753,0,0,1,0
Sed_Ret_Ratio,GHS_POP_E2020_GLOBE_sum,0.5375952942997562,0,NA,51682,51682,9009.171448147246,1286.2344178380981,1175.8598390323375,0,0.3897066242588479,19779.84494753325,0,823.4444151742958,1175.8598390323375,7722.937030309148,0.8283204163220498,0.6566408326440996,1,0,0,1,0
N_export,GHS_POP_E2020_GLOBE_sum,0.5223365194078562,0,NA,68632,68632,8925.328542701078,1312.961757347547,413.63320884288805,0,0,14344.160042286758,0,577.2079536246739,413.63320884288805,7612.366785353531,0.8048781464972921,0.6097562929945841,1,0,0,1,0
Nature_Access,GHS_POP_E2020_GLOBE_sum,0.5172225421151319,0,NA,67731,67731,25882.886933021007,3645.793949786392,1754.7005979285946,0,7.5021989379416825,47011.1178691162,0,3820.7099145147927,1754.7005979285946,22237.092983234616,0.813915581833996,0.6278311636679921,1,0,0,1,0
C_Risk_Red_Ratio,GHS_POP_E2020_GLOBE_sum,0.4823855057876195,0,NA,3974,3974,56479.10900525179,5115.154583663241,6033.014828648205,0.05307766146142967,0.8576620906591419,130597.63563388858,0,7096.5390153164335,6032.961750986744,51363.95442158855,0.8083603120839052,0.6167206241678105,1,0,0,1,0
Sed_export,GHS_POP_E2020_GLOBE_sum,0.47703695069355384,0,NA,68632,68632,2982.936081097809,837.5397425333921,78.44528186189473,0,0,5634.205916353984,0,182.54286091314856,78.44528186189473,2145.396338564417,0.7670037260047967,0.5340074520095934,1,0,0,1,0
C_Risk,GHS_POP_E2020_GLOBE_sum,0.47559134373427275,0,NA,3974,3974,53241.59297049361,5397.0293222759965,5445.803237412645,0.001925552139712987,0.6576382601057766,121470.76745819327,0,5977.242406733022,5445.801311860505,47844.56364821762,0.8071316729349731,0.6142633458699462,1,0,0,1,0
N_Ret_Ratio,GHS_POP_E2020_GLOBE_sum,0.38145221527695866,0,NA,50874,50874,24006.900634134727,1821.9499641688637,547.7266096335403,0.6231788240504242,0,46346.363175862476,0,1298.5358704866712,547.1034308094899,22184.950669965863,0.7371397185052126,0.4742794370104253,1,0,0,1,0
Sed_export,fields_mehrabi_2017_mean,0.15228932820850494,2.3538621275444338e-141,NA,39280,8512,854.1172528743523,253.23977008777982,10,9.51401215802989,1,5000,1,433.13489417379304,0.48598784197010936,600.8774827865725,0.5572128837759176,0.1144257675518352,1,0,1.883089702035547e-140,1,0
N_export,fields_mehrabi_2017_mean,0.08372570107172345,6.6491873309991135e-71,NA,47895,15264,699.4728976554054,369.8804268340069,10,10,1,4508.9274431417525,1,1000,0,329.5924708213985,0.5127273389192335,0.025454677838467,7.350107170678299e-7,0,1.7731166215997636e-70,1.176017147308528e-6,0
N_Ret_Ratio,fields_mehrabi_2017_mean,0.08141467843749202,3.5748748679230345e-77,NA,34364,21779,393.5260660673455,401.86401070212895,3.038425299700646,8.873830169152892,1,811.0007191412926,1,1000,-5.835404869452247,-8.337944634783469,0.455986408535871,-0.08802718292825795,0,0.0367698486572583,1.4299499471692138e-76,0,0.04202268417972377
C_Risk,fields_mehrabi_2017_mean,0.07245718702830975,0.001028432198455661,NA,2468,1019,158.49451400631946,174.32547207384314,5,2,1,200,1,186.87344208465927,3,-15.830958067523682,0.5366830861921705,0.07336617238434107,0.8303596319133475,5.14216099297693e-4,0.001175351083949327,0.9489824364723971,6.856214657302573e-4
Pollination,fields_mehrabi_2017_mean,0.0722685094206039,5.048051854881437e-59,NA,64515,16151,616.8292614780081,345.2253484736932,10,10,1,3538.9211138087353,1,1000,0,271.6039130043149,0.4961954022295198,-0.007609195540960401,0,0,8.0768829678103e-59,0,0
Nature_Access,fields_mehrabi_2017_mean,0.06672675314870381,3.5025640347392604e-69,NA,57347,25767,526.9086597149771,383.9914470623854,9.196076902888331,10,1,1830.2138193849828,1,1000,-0.8039230971116691,142.91721265259173,0.47336058428141314,-0.05327883143717371,0,0,7.005128069478521e-69,0,0
Sed_Ret_Ratio,fields_mehrabi_2017_mean,0.064641209816447,3.386501977879159e-45,NA,41514,17551,610.9911430637164,382.4062441741447,3.349620636566401,5.244328620222695,1,3696.5234175849037,1,1000,-1.8947079836562937,228.58489888957172,0.49125611350237397,-0.01748777299525206,0,0,4.515335970505545e-45,0,0
C_Risk_Red_Ratio,fields_mehrabi_2017_mean,0.030739896071606817,0.4836354927200276,NA,2493,1059,159.40601830630496,214.28295273989926,4.541017015828941,4.031568547699565,1,200,1,200,0.509448468129376,-54.8769344335943,0.500301694603246,6.033892064920554e-4,0.6280046141849606,0.24544346846750065,0.4836354927200276,0.8373394855799474,0.24544346846750065
C_Risk_Red_Ratio,hdi_raster_predictions_2020_mean,0.22121212121212122,2.7678824634145308e-58,NA,3630,2178,0.7931208806966218,0.7332329308545011,0.8157460280739259,0.7428575764749019,0.6309667822238328,0.9202250820049517,0.566150289982551,0.884470896472155,0.07288845159902402,0.05988794984212065,0.6453175000695662,0.29063500013913246,0.9795508222574422,0,3.1632942439023206e-58,0.999989420787821,0
C_Risk,hdi_raster_predictions_2020_mean,0.2189168959790281,6.076000792934786e-57,NA,3616,2174,0.7923210928353691,0.7294126885181794,0.8172074082977188,0.7440877960791569,0.6245683004332391,0.9217521311307447,0.5563892186825719,0.8795976605223071,0.07311961221856189,0.06290840431718969,0.6508681135055483,0.3017362270110966,0.9899337307327455,0,6.076000792934786e-57,0.999989420787821,0
N_Ret_Ratio,hdi_raster_predictions_2020_mean,0.16806739633624884,0,NA,45073,36238,0.6553051785929233,0.606201941897793,0.6635617645489179,0.6167289015714725,0.4559529552011984,0.8234705090613818,0.4006749566141451,0.7950847572149853,0.04683286297744538,0.04910323669513028,0.5969378513827328,0.19387570276546562,0.999989420787821,0,0,0.999989420787821,0
Sed_Ret_Ratio,hdi_raster_predictions_2020_mean,0.15118732013107622,0,NA,48441,33881,0.6452438251189591,0.6031045748996468,0.6504878013701748,0.6119573111894931,0.452798483119647,0.8210514933314159,0.41474615280362576,0.7886406419617547,0.038530490180681665,0.04213925021931231,0.5889982349397431,0.17799646987948625,0.9996451358997785,0,0,0.999989420787821,0
Sed_export,hdi_raster_predictions_2020_mean,0.1321676112099719,2.812976521641445e-289,NA,57674,28418,0.6443277161123696,0.6567423911321006,0.6360845427566708,0.6665460028052372,0.4783408485621943,0.8120098349065464,0.4574600009058063,0.8303299045606044,-0.030461460048566424,-0.012414675019731036,0.46081550934029486,-0.07836898131941028,0,0,7.501270724377186e-289,0,0
Pollination,hdi_raster_predictions_2020_mean,0.114164113666099,4.192378032420381e-278,NA,66676,38803,0.6321353187175505,0.6439817201264975,0.6410578724853877,0.6525355790288828,0.4373742196036314,0.8092315885689241,0.4339360421332332,0.8205371310776404,-0.011477706543495114,-0.011846401408946994,0.46930139764197154,-0.06139720471605692,0,2.881727370840359e-6,8.384756064840762e-278,0,3.2934027095318385e-6
Nature_Access,hdi_raster_predictions_2020_mean,0.09720509856628554,3.7425804475744453e-211,NA,66132,41972,0.6397956867404762,0.6527800120519712,0.6540781439850537,0.6673466002623467,0.4398568980127379,0.8031617191716737,0.44180778882455746,0.8241207375445951,-0.013268456277293006,-0.01298432531149507,0.46507082868649263,-0.06985834262701474,0,5.8117118698963743e-05,5.988128716119113e-211,0,5.8117118698963743e-05
N_export,hdi_raster_predictions_2020_mean,0.055427077529236674,3.972057812313605e-60,NA,63018,34689,0.6450538938276034,0.6458143584100983,0.6517040044260786,0.6531662805700268,0.4508486911430704,0.8154782695708511,0.4417770601585951,0.8216502553894985,-0.0014622761439482268,-7.604645824949019e-4,0.4938667758899833,-0.012266448220033421,0,0,5.296077083084806e-60,0,0
