service,n_es_hotspots,n_overlap,pct_overlap,driver,metric
C_Risk_Red_Ratio,3794,164,4.322614654717976,Forest_Loss,abs_chg
C_Risk,3794,163,4.296257248286769,Forest_Loss,abs_chg
N_Ret_Ratio,50481,1831,3.6271072284621937,Forest_Loss,abs_chg
N_export,67095,2413,3.5963931738579626,Forest_Loss,abs_chg
Sed_Ret_Ratio,51295,1837,3.581245735451798,Forest_Loss,abs_chg
Nature_Access,66200,2219,3.351963746223565,Forest_Loss,abs_chg
Sed_export,67095,2190,3.2640286161412924,Forest_Loss,abs_chg
Pollination,67095,2155,3.2118637752440566,Forest_Loss,abs_chg
C_Risk,3794,120,3.16288877174486,Grassland_Loss,abs_chg
C_Risk,3794,120,3.16288877174486,Grassland_Gain,abs_chg
C_Risk_Red_Ratio,3794,120,3.16288877174486,Grassland_Gain,abs_chg
C_Risk_Red_Ratio,3794,118,3.110173958882446,Grassland_Loss,abs_chg
Nature_Access,66200,1760,2.6586102719033233,Grassland_Gain,abs_chg
C_Risk,3794,100,2.635740643120717,Crop_Exp,abs_chg
C_Risk_Red_Ratio,3794,99,2.60938323668951,Crop_Exp,abs_chg
Pollination,67095,1726,2.572471868246516,Grassland_Gain,abs_chg
N_export,67095,1717,2.5590580520157986,Grassland_Gain,abs_chg
Sed_export,67095,1632,2.4323720098367985,Grassland_Gain,abs_chg
Sed_export,67095,1625,2.4219390416573514,Grassland_Loss,abs_chg
N_Ret_Ratio,50481,1214,2.4048651968067194,Grassland_Gain,abs_chg
Pollination,67095,1604,2.3906401371190102,Grassland_Loss,abs_chg
Sed_Ret_Ratio,51295,1226,2.39009650063359,Grassland_Gain,abs_chg
Sed_Ret_Ratio,51295,1218,2.3745004386392434,Crop_Exp,abs_chg
N_Ret_Ratio,50481,1197,2.3711891602781243,Crop_Exp,abs_chg
Nature_Access,66200,1562,2.3595166163141994,Grassland_Loss,abs_chg
N_export,67095,1570,2.3399657202474105,Grassland_Loss,abs_chg
N_export,67095,1532,2.283329607273269,Crop_Exp,abs_chg
Sed_export,67095,1488,2.2177509501453163,Crop_Exp,abs_chg
Sed_Ret_Ratio,51295,1074,2.093771322741008,Grassland_Loss,abs_chg
Nature_Access,66200,1364,2.0604229607250755,Crop_Exp,abs_chg
N_Ret_Ratio,50481,1035,2.0502763415938667,Grassland_Loss,abs_chg
Pollination,67095,1356,2.0210149787614577,Crop_Exp,abs_chg
N_Ret_Ratio,50481,543,1.0756522255898258,Urban_Exp,abs_chg
C_Risk,3794,40,1.0542962572482868,Urban_Exp,abs_chg
C_Risk_Red_Ratio,3794,37,0.9752240379546653,Urban_Exp,abs_chg
Pollination,67095,654,0.9747373127654817,Urban_Exp,abs_chg
Sed_export,67095,621,0.9255533199195171,Urban_Exp,abs_chg
Nature_Access,66200,610,0.9214501510574019,Urban_Exp,abs_chg
N_export,67095,571,0.8510321186377524,Urban_Exp,abs_chg
Sed_Ret_Ratio,51295,405,0.7895506384637879,Urban_Exp,abs_chg
