service,n_es_hotspots,n_overlap,pct_overlap,driver,metric
C_Risk_Red_Ratio,3794,169,4.454401686874012,Forest_Loss,pct_chg
C_Risk,3794,160,4.217185028993147,Forest_Loss,pct_chg
N_Ret_Ratio,50481,1847,3.6588023216655774,Forest_Loss,pct_chg
N_export,67095,2449,3.6500484387808334,Forest_Loss,pct_chg
Sed_Ret_Ratio,51295,1850,3.6065893361926116,Forest_Loss,pct_chg
Nature_Access,66200,2312,3.492447129909366,Forest_Loss,pct_chg
Sed_export,67095,2257,3.363887025858857,Grassland_Loss,pct_chg
C_Risk_Red_Ratio,3794,124,3.268318397469689,Grassland_Gain,pct_chg
C_Risk,3794,120,3.16288877174486,Grassland_Loss,pct_chg
Pollination,67095,2116,3.1537372382442808,Forest_Loss,pct_chg
Sed_export,67095,2073,3.089649005141963,Forest_Loss,pct_chg
C_Risk,3794,117,3.083816552451239,Grassland_Gain,pct_chg
C_Risk_Red_Ratio,3794,116,3.0574591460200318,Grassland_Loss,pct_chg
Nature_Access,66200,1806,2.72809667673716,Grassland_Gain,pct_chg
Pollination,67095,1804,2.688724942246069,Grassland_Gain,pct_chg
Sed_export,67095,1784,2.658916461733363,Grassland_Gain,pct_chg
C_Risk,3794,98,2.5830258302583027,Crop_Exp,pct_chg
C_Risk_Red_Ratio,3794,98,2.5830258302583027,Crop_Exp,pct_chg
N_export,67095,1654,2.4651613384007747,Grassland_Gain,pct_chg
N_Ret_Ratio,50481,1230,2.4365602900101027,Grassland_Gain,pct_chg
Sed_Ret_Ratio,51295,1237,2.4115410858758164,Grassland_Gain,pct_chg
Sed_Ret_Ratio,51295,1227,2.3920460083828834,Crop_Exp,pct_chg
N_Ret_Ratio,50481,1195,2.3672272736277016,Crop_Exp,pct_chg
Sed_export,67095,1511,2.2520307027349284,Crop_Exp,pct_chg
N_export,67095,1505,2.2430881585811164,Crop_Exp,pct_chg
Nature_Access,66200,1455,2.197885196374622,Grassland_Loss,pct_chg
Pollination,67095,1450,2.161114837171175,Grassland_Loss,pct_chg
Sed_Ret_Ratio,51295,1065,2.0762257529973684,Grassland_Loss,pct_chg
N_Ret_Ratio,50481,1026,2.032447851666964,Grassland_Loss,pct_chg
N_export,67095,1298,1.9345703852746106,Grassland_Loss,pct_chg
Nature_Access,66200,1238,1.8700906344410875,Crop_Exp,pct_chg
Pollination,67095,1105,1.646918548326999,Crop_Exp,pct_chg
N_Ret_Ratio,50481,567,1.1231948653949009,Urban_Exp,pct_chg
C_Risk_Red_Ratio,3794,39,1.0279388508170795,Urban_Exp,pct_chg
C_Risk,3794,38,1.0015814443858724,Urban_Exp,pct_chg
N_export,67095,662,0.9866607049705642,Urban_Exp,pct_chg
Nature_Access,66200,534,0.8066465256797584,Urban_Exp,pct_chg
Sed_Ret_Ratio,51295,410,0.7992981772102545,Urban_Exp,pct_chg
Pollination,67095,518,0.7720396452790819,Urban_Exp,pct_chg
Sed_export,67095,435,0.6483344511513526,Urban_Exp,pct_chg
