ESA_CCI_Raw_Classes,Simplified_9_Class_System,Binary_Classification
"10, 11, 12, 20, 30, 40 (Rainfed & Irrigated Cropland)",1: Cropland,Transformed (Human Footprint)
190 (Urban / Built-up),6: Urban,Transformed (Human Footprint)
"50, 60-62, 70-72, 80-82, 90, 100 (Tree Cover)",2: Forest,Natural (Primary)
"160, 170 (Flooded Trees / Mangroves)*",2: Forest,Natural (Primary)
"110, 120-122, 130 (Grassland / Shrubland)",3: Grassland/Shrubland,Transformed (Rangeland/Pasture)
"140, 150-153 (Sparse Vegetation)",4: Sparse,Natural
"180 (Shrub or herbaceous cover, flooded)",5: Wetland,Natural
200-202 (Bare areas),7: Bare,Natural
210 (Water bodies),8: Water,Natural
220 (Permanent snow and ice),9: Snow/Ice,Natural
