region_wb,service,mean_val,stdev_val,valid_count,se_val,sym_pct_change,status_abs,status_pct,grp_num_id,grp_legend_label
East Asia & Pacific,C_Risk,0.00152347130106,0.0502342496695664,333817,8.694521681822006e-5,0.06373482052086014,Bad,Bad,1,[1] East Asia & Pacific
East Asia & Pacific,C_Risk_Red_Ratio,-5.189599152355e-4,0.0179184971279752,333817,3.101325546009503e-5,-0.3975489834509314,Bad,Bad,1,[1] East Asia & Pacific
East Asia & Pacific,N_export,0.1105749011039734,4.158111106806602,275260468,2.5062487176361693e-4,2.5863415183668113,Bad,Bad,1,[1] East Asia & Pacific
East Asia & Pacific,N_Ret_Ratio,-0.00193500495515763,0.1188097157688364,237778720,7.704872643058741e-6,-0.21929692354178779,Bad,Bad,1,[1] East Asia & Pacific
East Asia & Pacific,Nature_Access,-4110.911,279527.4250800156,6117911,113.01155391501156,-16.29442824643595,Bad,Bad,1,[1] East Asia & Pacific
East Asia & Pacific,Pollination,0.03299437835812569,0.6373066044604936,45618098,9.435824011209773e-5,8.71645151078125,Good,Good,1,[1] East Asia & Pacific
East Asia & Pacific,Sed_export,0.4057227373123169,46.89348842067288,259597613,0.0029104637455905844,3.940344570123357,Bad,Bad,1,[1] East Asia & Pacific
East Asia & Pacific,Sed_Ret_Ratio,-2.5362891028635e-4,0.08784655720754338,245149817,5.6105954998995295e-6,-0.027321537736318045,Bad,Bad,1,[1] East Asia & Pacific
Europe & Central Asia,C_Risk,9.087483395917e-4,0.0493120236742372,381937,7.979156059830767e-5,0.03489466201162013,Bad,Bad,2,[2] Europe & Central Asia
Europe & Central Asia,C_Risk_Red_Ratio,-4.237777594577e-4,0.0174559077923167,381937,2.824532478347239e-5,-0.5350540287379744,Bad,Bad,2,[2] Europe & Central Asia
Europe & Central Asia,N_export,0.0039058644324541,2.309365077217863,258948864,1.4351113161651386e-4,-0.11668390929387049,Bad,Good,2,[2] Europe & Central Asia
Europe & Central Asia,N_Ret_Ratio,0.00116369465831667,0.09136828262267112,237302744,5.931220665318883e-6,0.13679295680842493,Good,Good,2,[2] Europe & Central Asia
Europe & Central Asia,Nature_Access,-542.47784,141906.38798158296,7469176,51.9236960912332,-1.2256136608504775,Bad,Bad,2,[2] Europe & Central Asia
Europe & Central Asia,Pollination,0.01171797234565019,0.32178664170767396,63555058,4.036388420635925e-5,4.42428383587697,Good,Good,2,[2] Europe & Central Asia
Europe & Central Asia,Sed_export,0.04228891432285309,11.84745097605721,264688058,7.282118578737847e-4,0.9599393502265605,Bad,Bad,2,[2] Europe & Central Asia
Europe & Central Asia,Sed_Ret_Ratio,9.084318298846485e-5,0.07015713576676558,248310522,4.452196139964256e-6,0.009486879140321171,Good,Good,2,[2] Europe & Central Asia
Latin America & Caribbean,C_Risk,6.01043232375e-4,0.0366509739890816,186600,8.484567335444144e-5,0.025165528791380433,Bad,Bad,3,[3] Latin America & Caribbean
Latin America & Caribbean,C_Risk_Red_Ratio,-1.700570100765e-4,0.012526079632563,186600,2.899741931095112e-5,-0.1479428494066186,Bad,Bad,3,[3] Latin America & Caribbean
Latin America & Caribbean,N_export,0.0417335219681263,1.2067929197244367,213388570,8.261276861206134e-5,2.797783442001341,Bad,Bad,3,[3] Latin America & Caribbean
Latin America & Caribbean,N_Ret_Ratio,-0.00244829012081027,0.076971320384467,200164882,5.440452140510561e-6,-0.2854529043316274,Bad,Bad,3,[3] Latin America & Caribbean
Latin America & Caribbean,Nature_Access,-2316.434,198366.14173485147,5095850,87.8737637906816,-8.793137942625975,Bad,Bad,3,[3] Latin America & Caribbean
Latin America & Caribbean,Pollination,0.00490385666489601,0.28651353672915136,36076173,4.770181625504249e-5,3.601766484436412,Good,Good,3,[3] Latin America & Caribbean
