overlap_category,exposure_type,country,region_wb,income_grp,WWF_biome,population
2 or more overlapping,hydrological,Afghanistan,South Asia,5. Low income,Deserts & Xeric Shrublands,21671936.418686397
2 or more overlapping,hydrological,Afghanistan,South Asia,5. Low income,Montane Grasslands & Shrublands,162303.79155689443
2 or more overlapping,hydrological,Afghanistan,South Asia,5. Low income,Rock & Ice,0.0
2 or more overlapping,hydrological,Afghanistan,South Asia,5. Low income,Temperate Conifer Forests,158705.2921646163
2 or more overlapping,hydrological,Afghanistan,South Asia,5. Low income,"Temperate Grasslands, Savannas & Shrublands",49118.74693978578
2 or more overlapping,hydrological,Albania,Europe & Central Asia,4. Lower middle income,"Mediterranean Forests, Woodlands & Scrub",453423.89558374416
2 or more overlapping,hydrological,Albania,Europe & Central Asia,4. Lower middle income,None,0.0
2 or more overlapping,hydrological,Albania,Europe & Central Asia,4. Lower middle income,Temperate Broadleaf & Mixed Forests,25571.808856953867
2 or more overlapping,hydrological,Algeria,Middle East & North Africa,3. Upper middle income,Deserts & Xeric Shrublands,1651620.3075288644
2 or more overlapping,hydrological,Algeria,Middle East & North Africa,3. Upper middle income,Flooded Grasslands & Savannas,73018.89453264012
2 or more overlapping,hydrological,Algeria,Middle East & North Africa,3. Upper middle income,"Mediterranean Forests, Woodlands & Scrub",22792564.594255675
2 or more overlapping,hydrological,Algeria,Middle East & North Africa,3. Upper middle income,None,0.0
2 or more overlapping,hydrological,Algeria,Middle East & North Africa,3. Upper middle income,Temperate Conifer Forests,923645.6917971061
2 or more overlapping,hydrological,American Samoa,East Asia & Pacific,3. Upper middle income,None,0.0
2 or more overlapping,hydrological,American Samoa,East Asia & Pacific,3. Upper middle income,Tropical & Subtropical Moist Broadleaf Forests,0.0
2 or more overlapping,hydrological,Andorra,Europe & Central Asia,2. High income: nonOECD,Temperate Broadleaf & Mixed Forests,69832.72021683306
2 or more overlapping,hydrological,Angola,Sub-Saharan Africa,3. Upper middle income,Deserts & Xeric Shrublands,359303.22833478916
2 or more overlapping,hydrological,Angola,Sub-Saharan Africa,3. Upper middle income,Flooded Grasslands & Savannas,232.28523594141006
2 or more overlapping,hydrological,Angola,Sub-Saharan Africa,3. Upper middle income,Mangroves,228758.88927347958
2 or more overlapping,hydrological,Angola,Sub-Saharan Africa,3. Upper middle income,Montane Grasslands & Shrublands,11877846.50447326
2 or more overlapping,hydrological,Angola,Sub-Saharan Africa,3. Upper middle income,None,2114.6651165299118
2 or more overlapping,hydrological,Angola,Sub-Saharan Africa,3. Upper middle income,Tropical & Subtropical Dry Broadleaf Forests,0.0
2 or more overlapping,hydrological,Angola,Sub-Saharan Africa,3. Upper middle income,"Tropical & Subtropical Grasslands, Savannas & Shrublands",12649596.694544844
2 or more overlapping,hydrological,Angola,Sub-Saharan Africa,3. Upper middle income,Tropical & Subtropical Moist Broadleaf Forests,70810.00191686861
2 or more overlapping,hydrological,Anguilla,Latin America & Caribbean,3. Upper middle income,Deserts & Xeric Shrublands,0.0
2 or more overlapping,hydrological,Antarctica,Antarctica,2. High income: nonOECD,None,0.0
2 or more overlapping,hydrological,Antarctica,Antarctica,2. High income: nonOECD,Rock & Ice,0.0
2 or more overlapping,hydrological,Antarctica,Antarctica,2. High income: nonOECD,Tundra,0.0
2 or more overlapping,hydrological,Antigua and Barbuda,Latin America & Caribbean,3. Upper middle income,Deserts & Xeric Shrublands,0.0
2 or more overlapping,hydrological,Argentina,Latin America & Caribbean,3. Upper middle income,Flooded Grasslands & Savannas,1679541.8239937406
2 or more overlapping,hydrological,Argentina,Latin America & Caribbean,3. Upper middle income,Montane Grasslands & Shrublands,349334.16174840083
2 or more overlapping,hydrological,Argentina,Latin America & Caribbean,3. Upper middle income,None,1012066.2232860029
2 or more overlapping,hydrological,Argentina,Latin America & Caribbean,3. Upper middle income,Rock & Ice,0.0
2 or more overlapping,hydrological,Argentina,Latin America & Caribbean,3. Upper middle income,Temperate Broadleaf & Mixed Forests,14737.91532472358
2 or more overlapping,hydrological,Argentina,Latin America & Caribbean,3. Upper middle income,"Temperate Grasslands, Savannas & Shrublands",15963309.409788176
2 or more overlapping,hydrological,Argentina,Latin America & Caribbean,3. Upper middle income,"Tropical & Subtropical Grasslands, Savannas & Shrublands",5509869.63022089
2 or more overlapping,hydrological,Argentina,Latin America & Caribbean,3. Upper middle income,Tropical & Subtropical Moist Broadleaf Forests,2105024.162369455
2 or more overlapping,hydrological,Armenia,Europe & Central Asia,4. Lower middle income,Temperate Broadleaf & Mixed Forests,491614.24330529803
2 or more overlapping,hydrological,Armenia,Europe & Central Asia,4. Lower middle income,"Temperate Grasslands, Savannas & Shrublands",2058047.7309922758
2 or more overlapping,hydrological,Aruba,Latin America & Caribbean,2. High income: nonOECD,Mangroves,0.0
2 or more overlapping,hydrological,Australia,East Asia & Pacific,1. High income: OECD,Deserts & Xeric Shrublands,24705.681399940047
2 or more overlapping,hydrological,Australia,East Asia & Pacific,1. High income: OECD,"Mediterranean Forests, Woodlands & Scrub",3040878.768281453
2 or more overlapping,hydrological,Australia,East Asia & Pacific,1. High income: OECD,Montane Grasslands & Shrublands,1582.2265834689606
2 or more overlapping,hydrological,Australia,East Asia & Pacific,1. High income: OECD,None,261579.52391913766
2 or more overlapping,hydrological,Australia,East Asia & Pacific,1. High income: OECD,Temperate Broadleaf & Mixed Forests,13345603.95025937
2 or more overlapping,hydrological,Australia,East Asia & Pacific,1. High income: OECD,"Temperate Grasslands, Savannas & Shrublands",228710.48116275776
2 or more overlapping,hydrological,Australia,East Asia & Pacific,1. High income: OECD,"Tropical & Subtropical Grasslands, Savannas & Shrublands",332327.8620424045
2 or more overlapping,hydrological,Australia,East Asia & Pacific,1. High income: OECD,Tropical & Subtropical Moist Broadleaf Forests,266488.5083339201
2 or more overlapping,hydrological,Australia,East Asia & Pacific,1. High income: OECD,Tundra,0.0
2 or more overlapping,hydrological,Austria,Europe & Central Asia,1. High income: OECD,Temperate Broadleaf & Mixed Forests,5759320.034222519
2 or more overlapping,hydrological,Austria,Europe & Central Asia,1. High income: OECD,Temperate Conifer Forests,1858317.367800093
2 or more overlapping,hydrological,Azerbaijan,Europe & Central Asia,3. Upper middle income,Deserts & Xeric Shrublands,3814518.5973405205
2 or more overlapping,hydrological,Azerbaijan,Europe & Central Asia,3. Upper middle income,Lakes,94089.50961488858
2 or more overlapping,hydrological,Azerbaijan,Europe & Central Asia,3. Upper middle income,Temperate Broadleaf & Mixed Forests,1227310.2690867446
2 or more overlapping,hydrological,Azerbaijan,Europe & Central Asia,3. Upper middle income,"Temperate Grasslands, Savannas & Shrublands",358122.39759946894
2 or more overlapping,hydrological,Bahrain,Middle East & North Africa,2. High income: nonOECD,Deserts & Xeric Shrublands,880142.2947570365
2 or more overlapping,hydrological,Bangladesh,South Asia,5. Low income,Mangroves,4311596.276594262
2 or more overlapping,hydrological,Bangladesh,South Asia,5. Low income,None,744939.0488588237
2 or more overlapping,hydrological,Bangladesh,South Asia,5. Low income,"Tropical & Subtropical Grasslands, Savannas & Shrublands",166611.53979601187
2 or more overlapping,hydrological,Bangladesh,South Asia,5. Low income,Tropical & Subtropical Moist Broadleaf Forests,82447905.8158918
2 or more overlapping,hydrological,Barbados,Latin America & Caribbean,2. High income: nonOECD,Deserts & Xeric Shrublands,0.0
2 or more overlapping,hydrological,Belarus,Europe & Central Asia,3. Upper middle income,Temperate Broadleaf & Mixed Forests,2369839.1217217115
