"category","buffer_type","area_km2","pct_of_total_land","population","elapsed_s"
"access_overlap_travel_time_beneficiaries","union",50299797.8533903,36.65,7054616397,8.4
"access_overlap_travel_time_beneficiaries","within_travel_time",50299797.8533903,36.65,7054616397,8.3
"combined_cross_category_beneficiaries","downstream_50k",21699242.3774557,15.81,2306102898,7.2
"combined_cross_category_beneficiaries","union",32341518.9062966,23.56,4103169901,8.3
"combined_cross_category_beneficiaries","within_travel_time",24701876.9192871,18,3919911461,9.9
"hotspot_count_1plus_beneficiaries","downstream_50k",61323300.0129111,44.68,5948837459,10.1
"hotspot_count_1plus_beneficiaries","union",77967897.7106524,56.8,7383465842,9.9
"hotspot_count_1plus_beneficiaries","within_travel_time",60745203.0561982,44.25,7163995328,10.3
"hotspot_count_2plus_beneficiaries","downstream_50k",24701425.5749696,18,2625623477,8.8
"hotspot_count_2plus_beneficiaries","union",36709776.9846036,26.74,4590219315,7.7
"hotspot_count_2plus_beneficiaries","within_travel_time",28236777.177243,20.57,4396590138,7.9
"hotspot_count_3plus_beneficiaries","downstream_50k",10986371.5324282,8,1085212499,7.2
"hotspot_count_3plus_beneficiaries","union",17586734.6392939,12.81,2258257450,7.5
"hotspot_count_3plus_beneficiaries","within_travel_time",13721785.282229,10,2138476903,7.6
"hotspot_count_4plus_beneficiaries","downstream_50k",3891538.10141568,2.84,351573775,7.3
"hotspot_count_4plus_beneficiaries","union",6043499.65699528,4.4,872462346,7.5
"hotspot_count_4plus_beneficiaries","within_travel_time",4436618.7581521,3.23,822757994,7.5
"hotspot_count_5plus_beneficiaries","downstream_50k",3201.68552951155,0,449787,7.5
"hotspot_count_5plus_beneficiaries","union",39478.0136788988,0.03,5856247,7.5
"hotspot_count_5plus_beneficiaries","within_travel_time",38977.6522861703,0.03,5849909,6.9
"water_overlap_downstream_beneficiaries","downstream_50k",42451482.6664314,30.93,3086759523,7.3
"water_overlap_downstream_beneficiaries","union",42451482.6664314,30.93,3086759523,7.5
