"category","n_cells","pct_of_hotspot_cells","pct_of_total_land"
"Water overlap (>=1 of N/Sed export)",111436,58.113,8.1185
"Access overlap (>=1 of Access/Poll/CRisk)",125726,65.565,9.1596
"Combined cross-category",45403,23.677,3.3078
"Exactly 1 service(s)",132088,68.882,9.623
"Exactly 2 service(s)",37666,19.642,2.7441
"Exactly 3 service(s)",17864,9.316,1.3015
"Exactly 4 service(s)",4116,2.146,0.2999
"Exactly 5 service(s)",25,0.013,0.0018
"1+ services (nested)",191759,100,13.9703
"2+ services (nested)",59671,31.118,4.3472
"3+ services (nested)",22005,11.475,1.6031
"4+ services (nested)",4141,2.159,0.3017
"5+ services (nested)",25,0.013,0.0018
