"category","n_cells","pct_of_hotspot_cells","pct_of_total_land"
"Water overlap (>=1 of N/Sed export)",110756,58.315,8.0689
"Access overlap (>=1 of Access/Poll/CRisk)",127172,66.958,9.2649
"Combined cross-category",48001,25.273,3.497
"Exactly 1 service(s)",132958,70.005,9.6864
"Exactly 2 service(s)",33175,17.467,2.4169
"Exactly 3 service(s)",16897,8.897,1.231
"Exactly 4 service(s)",6883,3.624,0.5014
"Exactly 5 service(s)",14,0.007,0.001
"1+ services (nested)",189927,100,13.8368
"2+ services (nested)",56969,29.995,4.1504
"3+ services (nested)",23794,12.528,1.7335
"4+ services (nested)",6897,3.631,0.5025
"5+ services (nested)",14,0.007,0.001
