"category","tier","n_cells","pct_of_hotspots","pct_of_land_area"
"Total 5-service hotspots","all",189927,100,13.8368129294248
"Water overlap","1 (N or Sed export)",84248,44.3580954787892,6.1377466904557
"Water overlap","2 (both)",26508,13.9569413511507,1.93119586542826
"Access overlap","1",114043,60.0457017696273,8.30841142602364
"Access overlap","2",13093,6.89370126416992,0.953868547836584
"Access overlap","3 (all three)",36,0.0189546509974885,0.00262271959994784
"Combined cross-category","2 (minimum: 1 water + 1 access)",24227,12.7559536032265,1.76501743744267
"Combined cross-category","3+ (deeper overlap)",23774,12.5174409115081,1.73201488247666
"Access + Coastal Risk pair","1 (either)",69771,36.7356931873825,5.08304914466557
"Access + Coastal Risk pair","2 (both)",967,0.509142986515872,0.0704491625874877
"Access + Pollination pair","1 (either)",112151,59.0495295560926,8.17057294038194
"Access + Pollination pair","2 (both)",12106,6.37402791598877,0.881962318804681
