WWF_biome,combined_total,hydrological,travel_footprint,multiplier
Rock & Ice,6554.031097602332,5323.408119740197,3614.1120812655427,0.6789094504822458
Tundra,922500.2696205161,425777.9006115345,910976.9580702672,2.1395590441914742
Lakes,7273826.212770138,7115377.338778467,6596889.58607954,0.9271313764523501
Boreal Forests/Taiga,33478167.898555983,27190563.907703493,33089520.05691425,1.2169486506140277
Tropical & Subtropical Coniferous Forests,65086223.447174475,50309262.29339231,63011969.39091429,1.2524924142883005
Mangroves,94287566.13014965,85279166.21941127,93628567.14757417,1.0979066904416146
Temperate Conifer Forests,117711346.89168213,102507347.33419955,114326838.03996618,1.1153038393163384
Flooded Grasslands & Savannas,120147949.57532811,114704235.44096246,118492049.00762753,1.0330224385534101
Montane Grasslands & Shrublands,168127276.73765633,136647134.8760516,160940907.50765938,1.1777847201380687
None,210661353.222694,174507501.83149472,209245923.63168406,1.1990654925180977
"Temperate Grasslands, Savannas & Shrublands",260480359.6495687,227631205.5735717,257423073.38052583,1.130877784229479
"Mediterranean Forests, Woodlands & Scrub",314818089.1096178,263610850.939346,314117021.25288707,1.191593669735401
Tropical & Subtropical Dry Broadleaf Forests,533584373.4835198,412928700.82725596,520061969.6780357,1.2594473782910955
"Tropical & Subtropical Grasslands, Savannas & Shrublands",726699308.5220164,590027491.1058711,691779976.3386384,1.1724538038762493
Deserts & Xeric Shrublands,809332967.6495512,677219890.1836966,790844145.4552602,1.1677804460833878
Temperate Broadleaf & Mixed Forests,1841142817.0687432,1608814910.1260245,1807029981.144783,1.1232056402331774
Tropical & Subtropical Moist Broadleaf Forests,2292247508.3306475,1941196909.110101,2219707997.9110436,1.143473898754877
