"","x"
"1","Temperate Grasslands, Savannas & Shrublands"
"2","Tropical & Subtropical Moist Broadleaf Forests"
"3","Temperate Conifer Forests"
"4","Tropical & Subtropical Coniferous Forests"
"5","Rock & Ice"
"6","Boreal Forests/Taiga"
"7","Montane Grasslands & Shrublands"
"8","Lakes"
"9","Flooded Grasslands & Savannas"
"10","Mediterranean Forests, Woodlands & Scrub"
"11","Tropical & Subtropical Dry Broadleaf Forests"
"12","Temperate Broadleaf & Mixed Forests"
"13","Tundra"
"14","Tropical & Subtropical Grasslands, Savannas & Shrublands"
"15","Mangroves"
"16","Deserts & Xeric Shrublands"
